"Country","Day","Confirmed","Deaths","Recovered"
"Maldives",1,4,0,0
"Maldives",2,4,0,0
"Maldives",3,6,0,0
"Maldives",4,8,0,0
"Maldives",5,8,0,0
"Maldives",6,9,0,0
"Maldives",7,10,0,0
"Maldives",8,13,0,0
"Maldives",9,13,0,0
"Maldives",10,13,0,0
"Maldives",11,13,0,0
"Maldives",12,13,0,0
"Maldives",13,13,0,0
"Maldives",14,13,0,0
"Maldives",15,13,0,3
"Maldives",16,13,0,5
"Maldives",17,13,0,5
"Maldives",18,13,0,8
"Maldives",19,13,0,8
"Maldives",20,16,0,9
"Maldives",21,16,0,9
"Maldives",22,17,0,13
"Maldives",23,17,0,13
"Maldives",24,18,0,13
"Maldives",25,19,0,13
"Maldives",26,19,0,13
"Maldives",27,19,0,13
"Maldives",28,19,0,13
"Maldives",29,19,0,13
"Maldives",30,19,0,13
"Maldives",31,19,0,13
"Maldives",32,19,0,13
"Maldives",33,19,0,13
"Maldives",34,19,0,13
"Maldives",35,19,0,13
"Maldives",36,20,0,14
"Maldives",37,20,0,14
"Maldives",38,20,0,16
"Maldives",39,22,0,16
"Maldives",40,25,0,16
"Maldives",41,28,0,16
"Maldives",42,35,0,16
"Maldives",43,52,0,16
"Maldives",44,69,0,16
"Maldives",45,83,0,16
"Maldives",46,86,0,16
"Maldives",47,108,0,16
"Maldives",48,129,0,16
"Maldives",49,177,0,17
"Maldives",50,214,0,17
"Maldives",51,226,0,17
"Maldives",52,250,0,17
"Maldives",53,278,1,17
"Maldives",54,468,1,17
"Maldives",55,491,1,17
"Maldives",56,519,1,18
"Maldives",57,527,1,18
"Maldives",58,541,1,18
"Maldives",59,573,2,20
"Maldives",60,617,2,20
"Maldives",61,648,3,20
"Maldives",62,744,3,20
"Maldives",63,790,3,29
"Maldives",64,835,3,29
"Maldives",65,897,3,29
"Maldives",66,904,3,29
"Maldives",67,955,4,40
