"Country","Day","Confirmed","Deaths","Recovered"
"Malta",1,3,0,0
"Malta",2,3,0,0
"Malta",3,3,0,0
"Malta",4,5,0,0
"Malta",5,6,0,0
"Malta",6,6,0,0
"Malta",7,12,0,1
"Malta",8,18,0,1
"Malta",9,21,0,1
"Malta",10,30,0,2
"Malta",11,38,0,2
"Malta",12,38,0,2
"Malta",13,53,0,2
"Malta",14,64,0,2
"Malta",15,73,0,2
"Malta",16,90,0,2
"Malta",17,107,0,2
"Malta",18,110,0,2
"Malta",19,129,0,2
"Malta",20,134,0,2
"Malta",21,139,0,2
"Malta",22,149,0,2
"Malta",23,151,0,2
"Malta",24,156,0,2
"Malta",25,169,0,2
"Malta",26,188,0,2
"Malta",27,196,0,2
"Malta",28,202,0,2
"Malta",29,213,0,2
"Malta",30,227,0,5
"Malta",31,241,0,5
"Malta",32,293,0,5
"Malta",33,299,1,16
"Malta",34,337,2,16
"Malta",35,350,2,16
"Malta",36,370,3,16
"Malta",37,378,3,44
"Malta",38,384,3,44
"Malta",39,393,3,44
"Malta",40,399,3,44
"Malta",41,412,3,82
"Malta",42,422,3,91
"Malta",43,426,3,99
"Malta",44,427,3,118
"Malta",45,431,3,126
"Malta",46,443,3,150
"Malta",47,444,3,165
"Malta",48,445,3,204
"Malta",49,447,3,223
"Malta",50,448,4,249
"Malta",51,448,4,282
"Malta",52,450,4,286
"Malta",53,458,4,303
"Malta",54,463,4,339
"Malta",55,465,4,351
"Malta",56,467,4,383
"Malta",57,468,4,379
"Malta",58,477,4,392
"Malta",59,480,4,399
"Malta",60,482,5,403
