"Country","Day","Confirmed","Deaths","Recovered"
"Mauritius",1,3,0,0
"Mauritius",2,3,0,0
"Mauritius",3,12,0,0
"Mauritius",4,14,1,0
"Mauritius",5,28,2,0
"Mauritius",6,36,2,0
"Mauritius",7,42,2,0
"Mauritius",8,48,2,0
"Mauritius",9,81,2,0
"Mauritius",10,94,2,0
"Mauritius",11,102,2,0
"Mauritius",12,107,3,0
"Mauritius",13,128,3,0
"Mauritius",14,143,5,0
"Mauritius",15,161,6,0
"Mauritius",16,169,7,0
"Mauritius",17,186,7,0
"Mauritius",18,196,7,7
"Mauritius",19,227,7,7
"Mauritius",20,244,7,7
"Mauritius",21,268,7,8
"Mauritius",22,273,7,19
"Mauritius",23,314,7,23
"Mauritius",24,318,9,23
"Mauritius",25,319,9,28
"Mauritius",26,324,9,42
"Mauritius",27,324,9,42
"Mauritius",28,324,9,51
"Mauritius",29,324,9,65
"Mauritius",30,324,9,81
"Mauritius",31,324,9,108
"Mauritius",32,325,9,180
"Mauritius",33,328,9,208
"Mauritius",34,328,9,224
"Mauritius",35,328,9,243
"Mauritius",36,329,9,261
"Mauritius",37,331,9,266
"Mauritius",38,331,9,285
"Mauritius",39,331,9,295
"Mauritius",40,332,9,299
"Mauritius",41,334,10,302
"Mauritius",42,334,10,303
"Mauritius",43,332,10,306
"Mauritius",44,332,10,310
"Mauritius",45,332,10,312
"Mauritius",46,332,10,314
"Mauritius",47,332,10,315
"Mauritius",48,332,10,316
"Mauritius",49,332,10,319
