"Country","Day","Confirmed","Deaths","Recovered"
"Morocco",1,1,0,0
"Morocco",2,1,0,0
"Morocco",3,1,0,0
"Morocco",4,2,0,0
"Morocco",5,2,0,0
"Morocco",6,2,0,0
"Morocco",7,2,0,0
"Morocco",8,2,0,0
"Morocco",9,3,1,0
"Morocco",10,5,1,0
"Morocco",11,6,1,0
"Morocco",12,7,1,1
"Morocco",13,17,1,1
"Morocco",14,28,1,1
"Morocco",15,29,1,1
"Morocco",16,38,2,1
"Morocco",17,49,2,1
"Morocco",18,63,2,1
"Morocco",19,77,3,1
"Morocco",20,96,3,3
"Morocco",21,115,4,3
"Morocco",22,143,4,5
"Morocco",23,170,5,6
"Morocco",24,225,6,7
"Morocco",25,275,11,8
"Morocco",26,345,23,11
"Morocco",27,402,25,11
"Morocco",28,479,26,13
"Morocco",29,556,33,15
"Morocco",30,617,36,24
"Morocco",31,654,39,29
"Morocco",32,708,44,31
"Morocco",33,791,48,57
"Morocco",34,919,59,66
"Morocco",35,1021,70,76
"Morocco",36,1120,80,81
"Morocco",37,1184,90,93
"Morocco",38,1275,93,97
"Morocco",39,1374,97,109
"Morocco",40,1448,107,122
"Morocco",41,1545,111,146
"Morocco",42,1661,118,177
"Morocco",43,1763,126,203
"Morocco",44,1888,126,217
"Morocco",45,2024,127,229
"Morocco",46,2283,130,249
"Morocco",47,2564,135,281
"Morocco",48,2685,137,314
"Morocco",49,2855,141,327
"Morocco",50,3046,143,350
"Morocco",51,3209,145,393
"Morocco",52,3446,149,417
"Morocco",53,3568,155,456
"Morocco",54,3758,158,486
"Morocco",55,3897,159,537
"Morocco",56,4065,161,593
"Morocco",57,4120,162,695
"Morocco",58,4252,165,778
"Morocco",59,4321,168,928
"Morocco",60,4423,170,984
"Morocco",61,4569,171,1083
"Morocco",62,4729,173,1256
"Morocco",63,4903,174,1438
"Morocco",64,5053,179,1653
"Morocco",65,5219,181,1838
"Morocco",66,5408,183,2017
"Morocco",67,5548,183,2179
"Morocco",68,5711,186,2324
"Morocco",69,5910,186,2461
"Morocco",70,6063,188,2554
"Morocco",71,6281,188,2811
"Morocco",72,6418,188,2991
"Morocco",73,6512,188,3131
