"Country","Day","Confirmed","Deaths","Recovered"
"Nepal",1,1,0,0
"Nepal",2,1,0,0
"Nepal",3,1,0,0
"Nepal",4,1,0,0
"Nepal",5,1,0,0
"Nepal",6,1,0,0
"Nepal",7,1,0,0
"Nepal",8,1,0,0
"Nepal",9,1,0,0
"Nepal",10,1,0,0
"Nepal",11,1,0,0
"Nepal",12,1,0,0
"Nepal",13,1,0,0
"Nepal",14,1,0,0
"Nepal",15,1,0,0
"Nepal",16,1,0,0
"Nepal",17,1,0,0
"Nepal",18,1,0,0
"Nepal",19,1,0,1
"Nepal",20,1,0,1
"Nepal",21,1,0,1
"Nepal",22,1,0,1
"Nepal",23,1,0,1
"Nepal",24,1,0,1
"Nepal",25,1,0,1
"Nepal",26,1,0,1
"Nepal",27,1,0,1
"Nepal",28,1,0,1
"Nepal",29,1,0,1
"Nepal",30,1,0,1
"Nepal",31,1,0,1
"Nepal",32,1,0,1
"Nepal",33,1,0,1
"Nepal",34,1,0,1
"Nepal",35,1,0,1
"Nepal",36,1,0,1
"Nepal",37,1,0,1
"Nepal",38,1,0,1
"Nepal",39,1,0,1
"Nepal",40,1,0,1
"Nepal",41,1,0,1
"Nepal",42,1,0,1
"Nepal",43,1,0,1
"Nepal",44,1,0,1
"Nepal",45,1,0,1
"Nepal",46,1,0,1
"Nepal",47,1,0,1
"Nepal",48,1,0,1
"Nepal",49,1,0,1
"Nepal",50,1,0,1
"Nepal",51,1,0,1
"Nepal",52,1,0,1
"Nepal",53,1,0,1
"Nepal",54,1,0,1
"Nepal",55,1,0,1
"Nepal",56,1,0,1
"Nepal",57,1,0,1
"Nepal",58,1,0,1
"Nepal",59,2,0,1
"Nepal",60,2,0,1
"Nepal",61,3,0,1
"Nepal",62,3,0,1
"Nepal",63,4,0,1
"Nepal",64,5,0,1
"Nepal",65,5,0,1
"Nepal",66,5,0,1
"Nepal",67,5,0,1
"Nepal",68,5,0,1
"Nepal",69,6,0,1
"Nepal",70,6,0,1
"Nepal",71,9,0,1
"Nepal",72,9,0,1
"Nepal",73,9,0,1
"Nepal",74,9,0,1
"Nepal",75,9,0,1
"Nepal",76,9,0,1
"Nepal",77,9,0,1
"Nepal",78,9,0,1
"Nepal",79,12,0,1
"Nepal",80,14,0,1
"Nepal",81,16,0,1
"Nepal",82,16,0,1
"Nepal",83,16,0,2
"Nepal",84,30,0,2
"Nepal",85,31,0,2
"Nepal",86,31,0,4
"Nepal",87,31,0,4
"Nepal",88,43,0,4
"Nepal",89,45,0,7
"Nepal",90,48,0,10
"Nepal",91,49,0,11
"Nepal",92,49,0,12
"Nepal",93,52,0,16
"Nepal",94,52,0,16
"Nepal",95,54,0,16
"Nepal",96,57,0,16
"Nepal",97,57,0,16
"Nepal",98,59,0,16
"Nepal",99,59,0,16
"Nepal",100,75,0,16
"Nepal",101,75,0,16
"Nepal",102,82,0,16
