"Country","Day","Confirmed","Deaths","Recovered"
"Nigeria",1,1,0,0
"Nigeria",2,1,0,0
"Nigeria",3,1,0,0
"Nigeria",4,1,0,0
"Nigeria",5,1,0,0
"Nigeria",6,1,0,0
"Nigeria",7,1,0,0
"Nigeria",8,1,0,0
"Nigeria",9,1,0,0
"Nigeria",10,1,0,0
"Nigeria",11,2,0,0
"Nigeria",12,2,0,0
"Nigeria",13,2,0,0
"Nigeria",14,2,0,0
"Nigeria",15,2,0,0
"Nigeria",16,2,0,0
"Nigeria",17,2,0,0
"Nigeria",18,2,0,0
"Nigeria",19,3,0,0
"Nigeria",20,8,0,1
"Nigeria",21,8,0,1
"Nigeria",22,12,0,1
"Nigeria",23,22,0,1
"Nigeria",24,30,0,2
"Nigeria",25,40,1,2
"Nigeria",26,44,1,2
"Nigeria",27,51,1,2
"Nigeria",28,65,1,2
"Nigeria",29,70,1,3
"Nigeria",30,89,1,3
"Nigeria",31,111,1,3
"Nigeria",32,131,2,8
"Nigeria",33,135,2,8
"Nigeria",34,174,2,9
"Nigeria",35,184,2,20
"Nigeria",36,210,4,25
"Nigeria",37,214,4,25
"Nigeria",38,232,5,33
"Nigeria",39,238,5,35
"Nigeria",40,254,6,44
"Nigeria",41,276,6,44
"Nigeria",42,288,7,51
"Nigeria",43,305,7,58
"Nigeria",44,318,10,70
"Nigeria",45,323,10,85
"Nigeria",46,343,10,91
"Nigeria",47,373,11,99
"Nigeria",48,407,12,128
"Nigeria",49,442,13,152
"Nigeria",50,493,17,159
"Nigeria",51,542,19,166
"Nigeria",52,627,21,170
"Nigeria",53,665,22,188
"Nigeria",54,665,22,188
"Nigeria",55,873,28,197
"Nigeria",56,981,31,197
"Nigeria",57,1095,32,208
"Nigeria",58,1182,35,222
"Nigeria",59,1273,40,239
"Nigeria",60,1337,40,255
"Nigeria",61,1532,44,255
"Nigeria",62,1728,51,307
"Nigeria",63,1932,58,319
"Nigeria",64,2170,68,351
"Nigeria",65,2388,85,351
"Nigeria",66,2558,87,400
"Nigeria",67,2802,93,417
"Nigeria",68,2950,98,481
"Nigeria",69,3145,103,534
"Nigeria",70,3526,107,601
"Nigeria",71,3912,117,679
"Nigeria",72,4151,128,745
"Nigeria",73,4399,143,778
"Nigeria",74,4641,150,902
"Nigeria",75,4787,158,959
"Nigeria",76,4971,164,1070
