"Country","Day","Confirmed","Deaths","Recovered"
"North Macedonia",1,1,0,0
"North Macedonia",2,1,0,0
"North Macedonia",3,1,0,0
"North Macedonia",4,1,0,0
"North Macedonia",5,1,0,0
"North Macedonia",6,1,0,0
"North Macedonia",7,1,0,0
"North Macedonia",8,1,0,0
"North Macedonia",9,1,0,0
"North Macedonia",10,3,0,0
"North Macedonia",11,3,0,0
"North Macedonia",12,3,0,0
"North Macedonia",13,3,0,0
"North Macedonia",14,7,0,0
"North Macedonia",15,7,0,0
"North Macedonia",16,7,0,0
"North Macedonia",17,14,0,1
"North Macedonia",18,14,0,1
"North Macedonia",19,14,0,1
"North Macedonia",20,18,0,1
"North Macedonia",21,26,0,1
"North Macedonia",22,35,0,1
"North Macedonia",23,48,0,1
"North Macedonia",24,67,0,1
"North Macedonia",25,85,0,1
"North Macedonia",26,115,1,1
"North Macedonia",27,136,2,1
"North Macedonia",28,148,2,1
"North Macedonia",29,177,3,1
"North Macedonia",30,201,3,3
"North Macedonia",31,219,3,3
"North Macedonia",32,241,4,3
"North Macedonia",33,259,6,3
"North Macedonia",34,285,7,12
"North Macedonia",35,329,9,12
"North Macedonia",36,354,11,17
"North Macedonia",37,384,11,17
"North Macedonia",38,430,12,20
"North Macedonia",39,483,17,20
"North Macedonia",40,555,18,23
"North Macedonia",41,570,23,30
"North Macedonia",42,599,26,30
"North Macedonia",43,617,29,35
"North Macedonia",44,663,30,37
"North Macedonia",45,711,32,41
"North Macedonia",46,760,34,41
"North Macedonia",47,828,34,41
"North Macedonia",48,854,38,44
"North Macedonia",49,908,44,86
"North Macedonia",50,974,45,98
"North Macedonia",51,1081,46,121
"North Macedonia",52,1117,49,139
"North Macedonia",53,1170,49,164
"North Macedonia",54,1207,51,179
"North Macedonia",55,1225,54,200
"North Macedonia",56,1231,55,224
"North Macedonia",57,1259,56,272
"North Macedonia",58,1300,56,301
"North Macedonia",59,1326,57,337
"North Macedonia",60,1367,59,374
"North Macedonia",61,1386,61,500
"North Macedonia",62,1399,65,553
"North Macedonia",63,1421,71,589
"North Macedonia",64,1442,73,627
"North Macedonia",65,1465,77,738
"North Macedonia",66,1494,81,807
"North Macedonia",67,1506,82,852
"North Macedonia",68,1511,84,945
"North Macedonia",69,1518,85,992
"North Macedonia",70,1526,86,1013
"North Macedonia",71,1539,88,1057
"North Macedonia",72,1572,89,1079
"North Macedonia",73,1586,90,1099
"North Macedonia",74,1622,91,1112
"North Macedonia",75,1642,91,1136
"North Macedonia",76,1664,91,1200
"North Macedonia",77,1674,92,1205
"North Macedonia",78,1694,95,1229
