"Country","Day","Confirmed"
"Others",1,61
"Others",2,61
"Others",3,64
"Others",4,135
"Others",5,135
"Others",6,175
"Others",7,175
"Others",8,218
"Others",9,285
"Others",10,355
"Others",11,454
"Others",12,542
"Others",13,621
"Others",14,634
"Others",15,634
"Others",16,634
"Others",17,691
"Others",18,691
"Others",19,691
"Others",20,705
"Others",21,705
"Others",22,705
"Others",23,705
"Others",24,705
"Others",25,705
"Others",26,706
"Others",27,706
"Others",28,706
"Others",29,696
"Others",30,696
"Others",31,696
"Others",32,696
"Others",33,696
