"Country","Day","Confirmed","Deaths","Recovered"
"Pakistan",1,2,0,0
"Pakistan",2,2,0,0
"Pakistan",3,2,0,0
"Pakistan",4,4,0,0
"Pakistan",5,4,0,0
"Pakistan",6,4,0,0
"Pakistan",7,5,0,0
"Pakistan",8,5,0,0
"Pakistan",9,5,0,0
"Pakistan",10,6,0,0
"Pakistan",11,6,0,0
"Pakistan",12,6,0,1
"Pakistan",13,6,0,1
"Pakistan",14,16,0,1
"Pakistan",15,19,0,2
"Pakistan",16,20,0,2
"Pakistan",17,28,0,2
"Pakistan",18,31,0,2
"Pakistan",19,53,0,2
"Pakistan",20,136,0,2
"Pakistan",21,236,0,2
"Pakistan",22,299,0,2
"Pakistan",23,454,2,13
"Pakistan",24,501,3,13
"Pakistan",25,730,3,13
"Pakistan",26,776,4,13
"Pakistan",27,875,6,13
"Pakistan",28,972,7,18
"Pakistan",29,1063,8,21
"Pakistan",30,1201,9,21
"Pakistan",31,1373,11,23
"Pakistan",32,1495,12,29
"Pakistan",33,1597,14,29
"Pakistan",34,1717,21,76
"Pakistan",35,1938,26,76
"Pakistan",36,2118,27,94
"Pakistan",37,2421,34,125
"Pakistan",38,2686,40,126
"Pakistan",39,2818,41,131
"Pakistan",40,3157,47,211
"Pakistan",41,3766,53,259
"Pakistan",42,4035,57,429
"Pakistan",43,4263,61,467
"Pakistan",44,4489,65,572
"Pakistan",45,4695,66,727
"Pakistan",46,5011,86,762
"Pakistan",47,5230,91,1028
"Pakistan",48,5496,93,1095
"Pakistan",49,5837,96,1378
"Pakistan",50,6383,111,1446
"Pakistan",51,6919,128,1645
"Pakistan",52,7025,135,1765
"Pakistan",53,7638,143,1832
"Pakistan",54,8348,168,1868
"Pakistan",55,8418,176,1970
"Pakistan",56,9565,201,2073
"Pakistan",57,10076,212,2156
"Pakistan",58,11155,237,2527
"Pakistan",59,11940,253,2755
"Pakistan",60,12723,269,2866
"Pakistan",61,13328,281,2936
"Pakistan",62,13915,292,3029
"Pakistan",63,14612,312,3233
"Pakistan",64,15525,343,3425
"Pakistan",65,16817,385,4315
"Pakistan",66,18114,417,4715
"Pakistan",67,19103,440,4817
"Pakistan",68,20084,457,5114
"Pakistan",69,20941,476,5635
"Pakistan",70,22049,514,5801
"Pakistan",71,24073,564,6464
"Pakistan",72,24644,585,6464
"Pakistan",73,26435,599,7530
"Pakistan",74,28736,636,7809
"Pakistan",75,30334,659,8063
"Pakistan",76,32081,706,8555
"Pakistan",77,34336,737,8812
"Pakistan",78,35298,761,8899
