"Country","Day","Confirmed","Deaths","Recovered"
"Panama",1,1,0,0
"Panama",2,8,1,0
"Panama",3,11,1,0
"Panama",4,27,1,0
"Panama",5,36,1,0
"Panama",6,43,1,0
"Panama",7,55,1,0
"Panama",8,69,1,0
"Panama",9,86,1,0
"Panama",10,109,1,0
"Panama",11,137,1,0
"Panama",12,200,1,0
"Panama",13,313,3,1
"Panama",14,313,3,1
"Panama",15,345,6,1
"Panama",16,443,8,1
"Panama",17,558,8,2
"Panama",18,674,9,2
"Panama",19,786,14,2
"Panama",20,901,17,4
"Panama",21,989,24,4
"Panama",22,1181,30,9
"Panama",23,1181,30,9
"Panama",24,1317,32,9
"Panama",25,1475,37,10
"Panama",26,1673,41,13
"Panama",27,1801,46,13
"Panama",28,1988,54,13
"Panama",29,2100,55,14
"Panama",30,2249,59,16
"Panama",31,2528,63,16
"Panama",32,2752,66,16
"Panama",33,2974,74,17
"Panama",34,3234,79,23
"Panama",35,3400,87,29
"Panama",36,3472,94,61
"Panama",37,3574,95,72
"Panama",38,3751,103,75
"Panama",39,4016,109,98
"Panama",40,4210,116,122
"Panama",41,4273,120,140
"Panama",42,4467,126,165
"Panama",43,4658,136,204
"Panama",44,4821,141,231
"Panama",45,5166,146,271
"Panama",46,5338,154,319
"Panama",47,5538,159,338
"Panama",48,5779,165,338
"Panama",49,6021,167,455
"Panama",50,6021,167,455
"Panama",51,6378,178,527
"Panama",52,6532,188,576
"Panama",53,6720,192,622
"Panama",54,7090,197,641
"Panama",55,7090,197,641
"Panama",56,7197,200,641
"Panama",57,7523,210,823
