"Country","Day","Confirmed"
"Philippines",1,1
"Philippines",2,1
"Philippines",3,1
"Philippines",4,2
"Philippines",5,2
"Philippines",6,2
"Philippines",7,2
"Philippines",8,2
"Philippines",9,3
"Philippines",10,3
"Philippines",11,3
"Philippines",12,3
"Philippines",13,3
"Philippines",14,3
"Philippines",15,3
"Philippines",16,3
"Philippines",17,3
"Philippines",18,3
"Philippines",19,3
"Philippines",20,3
"Philippines",21,3
"Philippines",22,3
"Philippines",23,3
"Philippines",24,3
"Philippines",25,3
"Philippines",26,3
"Philippines",27,3
"Philippines",28,3
"Philippines",29,3
"Philippines",30,3
"Philippines",31,3
"Philippines",32,3
"Philippines",33,3
"Philippines",34,3
"Philippines",35,3
"Philippines",36,3
"Philippines",37,5
"Philippines",38,6
"Philippines",39,10
"Philippines",40,20
"Philippines",41,33
"Philippines",42,49
"Philippines",43,52
"Philippines",44,64
"Philippines",45,111
"Philippines",46,140
