"Country","Day","Confirmed","Deaths","Recovered"
"Poland",1,1,0,0
"Poland",2,1,0,0
"Poland",3,5,0,0
"Poland",4,5,0,0
"Poland",5,11,0,0
"Poland",6,16,0,0
"Poland",7,22,0,0
"Poland",8,31,0,0
"Poland",9,49,1,0
"Poland",10,68,2,0
"Poland",11,103,3,0
"Poland",12,119,3,0
"Poland",13,177,4,13
"Poland",14,238,5,13
"Poland",15,251,5,13
"Poland",16,355,5,1
"Poland",17,425,5,1
"Poland",18,536,5,1
"Poland",19,634,7,13
"Poland",20,749,8,13
"Poland",21,901,10,1
"Poland",22,1051,14,7
"Poland",23,1221,16,7
"Poland",24,1389,16,7
"Poland",25,1638,18,7
"Poland",26,1862,22,7
"Poland",27,2055,31,7
"Poland",28,2311,33,7
"Poland",29,2554,43,47
"Poland",30,2946,57,56
"Poland",31,3383,71,56
"Poland",32,3627,79,116
"Poland",33,4102,94,134
"Poland",34,4413,107,162
"Poland",35,4848,129,191
"Poland",36,5205,159,222
"Poland",37,5575,174,284
"Poland",38,5955,181,318
"Poland",39,6356,208,375
"Poland",40,6674,232,439
"Poland",41,6934,245,487
"Poland",42,7202,263,618
"Poland",43,7582,286,668
"Poland",44,7918,314,774
"Poland",45,8379,332,866
"Poland",46,8742,347,981
"Poland",47,9287,360,1040
"Poland",48,9593,380,1133
"Poland",49,9856,401,1297
"Poland",50,10169,426,1513
"Poland",51,10511,454,1740
"Poland",52,10892,494,1944
"Poland",53,11273,524,2126
"Poland",54,11617,535,2265
"Poland",55,11902,562,2466
"Poland",56,12218,596,2655
"Poland",57,12640,624,3025
"Poland",58,12877,644,3236
"Poland",59,13105,651,3491
"Poland",60,13375,664,3762
"Poland",61,13693,678,3945
"Poland",62,14006,698,4095
"Poland",63,14431,716,4280
"Poland",64,14740,733,4655
"Poland",65,15047,755,4862
"Poland",66,15366,776,5184
"Poland",67,15651,785,5437
"Poland",68,15996,800,5698
"Poland",69,16326,811,5816
"Poland",70,16921,839,6131
"Poland",71,17204,861,6410
