"Country","Day","Confirmed","Deaths","Recovered"
"Portugal",1,2,0,0
"Portugal",2,2,0,0
"Portugal",3,5,0,0
"Portugal",4,8,0,0
"Portugal",5,13,0,0
"Portugal",6,20,0,0
"Portugal",7,30,0,0
"Portugal",8,30,0,0
"Portugal",9,41,0,0
"Portugal",10,59,0,0
"Portugal",11,59,0,0
"Portugal",12,112,0,1
"Portugal",13,169,0,2
"Portugal",14,245,0,2
"Portugal",15,331,0,3
"Portugal",16,448,1,3
"Portugal",17,448,2,3
"Portugal",18,785,3,3
"Portugal",19,1020,6,5
"Portugal",20,1280,12,5
"Portugal",21,1600,14,5
"Portugal",22,2060,23,14
"Portugal",23,2362,33,22
"Portugal",24,2995,43,22
"Portugal",25,3544,60,43
