"Country","Day","Confirmed","Deaths","Recovered"
"Russia",1,2,0,0
"Russia",2,2,0,0
"Russia",3,2,0,0
"Russia",4,2,0,0
"Russia",5,2,0,0
"Russia",6,2,0,0
"Russia",7,2,0,0
"Russia",8,2,0,0
"Russia",9,2,0,0
"Russia",10,2,0,0
"Russia",11,2,0,0
"Russia",12,2,0,0
"Russia",13,2,0,2
"Russia",14,2,0,2
"Russia",15,2,0,2
"Russia",16,2,0,2
"Russia",17,2,0,2
"Russia",18,2,0,2
"Russia",19,2,0,2
"Russia",20,2,0,2
"Russia",21,2,0,2
"Russia",22,2,0,2
"Russia",23,2,0,2
"Russia",24,2,0,2
"Russia",25,2,0,2
"Russia",26,2,0,2
"Russia",27,2,0,2
"Russia",28,2,0,2
"Russia",29,2,0,2
"Russia",30,2,0,2
"Russia",31,2,0,2
"Russia",32,3,0,2
"Russia",33,3,0,2
"Russia",34,3,0,2
"Russia",35,4,0,2
"Russia",36,13,0,2
"Russia",37,13,0,2
"Russia",38,17,0,3
"Russia",39,17,0,3
"Russia",40,20,0,3
"Russia",41,28,0,3
"Russia",42,45,0,3
"Russia",43,59,0,8
"Russia",44,63,0,8
"Russia",45,90,0,8
"Russia",46,114,0,8
"Russia",47,147,0,8
"Russia",48,199,1,9
"Russia",49,253,1,9
"Russia",50,306,1,12
