"Country","Day","Confirmed","Deaths","Recovered"
"Rwanda",1,1,0,0
"Rwanda",2,1,0,0
"Rwanda",3,5,0,0
"Rwanda",4,7,0,0
"Rwanda",5,8,0,0
"Rwanda",6,8,0,0
"Rwanda",7,17,0,0
"Rwanda",8,17,0,0
"Rwanda",9,19,0,0
"Rwanda",10,36,0,0
"Rwanda",11,40,0,0
"Rwanda",12,41,0,0
"Rwanda",13,50,0,0
"Rwanda",14,54,0,0
"Rwanda",15,60,0,0
"Rwanda",16,70,0,0
"Rwanda",17,70,0,0
"Rwanda",18,75,0,0
"Rwanda",19,82,0,0
"Rwanda",20,84,0,0
"Rwanda",21,89,0,0
"Rwanda",22,102,0,0
"Rwanda",23,104,0,4
"Rwanda",24,105,0,4
"Rwanda",25,105,0,7
"Rwanda",26,110,0,7
"Rwanda",27,110,0,7
"Rwanda",28,118,0,7
"Rwanda",29,120,0,18
"Rwanda",30,126,0,25
"Rwanda",31,127,0,42
"Rwanda",32,134,0,49
"Rwanda",33,136,0,54
"Rwanda",34,138,0,60
"Rwanda",35,143,0,65
"Rwanda",36,144,0,69
"Rwanda",37,147,0,76
"Rwanda",38,147,0,76
"Rwanda",39,150,0,84
"Rwanda",40,153,0,84
"Rwanda",41,154,0,87
"Rwanda",42,176,0,87
"Rwanda",43,183,0,88
"Rwanda",44,191,0,92
"Rwanda",45,207,0,93
"Rwanda",46,212,0,95
"Rwanda",47,225,0,98
"Rwanda",48,243,0,104
"Rwanda",49,249,0,109
"Rwanda",50,255,0,120
"Rwanda",51,259,0,124
"Rwanda",52,261,0,128
"Rwanda",53,261,0,129
"Rwanda",54,268,0,130
"Rwanda",55,271,0,133
"Rwanda",56,273,0,136
"Rwanda",57,280,0,140
"Rwanda",58,284,0,140
"Rwanda",59,285,0,150
"Rwanda",60,286,0,153
"Rwanda",61,287,0,164
