"Country","Day","Confirmed","Deaths","Recovered"
"San Marino",1,1,0,0
"San Marino",2,1,0,0
"San Marino",3,1,0,0
"San Marino",4,1,0,0
"San Marino",5,8,0,0
"San Marino",6,10,1,0
"San Marino",7,16,1,0
"San Marino",8,21,1,0
"San Marino",9,21,1,0
"San Marino",10,23,1,0
"San Marino",11,36,1,0
"San Marino",12,36,1,0
"San Marino",13,51,2,0
"San Marino",14,62,2,0
"San Marino",15,69,3,0
"San Marino",16,80,5,0
"San Marino",17,80,5,4
"San Marino",18,101,5,4
"San Marino",19,109,7,4
"San Marino",20,109,7,4
"San Marino",21,119,11,4
"San Marino",22,119,11,4
"San Marino",23,144,14,4
"San Marino",24,144,20,4
"San Marino",25,175,20,4
"San Marino",26,187,20,4
"San Marino",27,187,21,4
