"Country","Day","Confirmed","Deaths","Recovered"
"Sao Tome and Principe",1,4,0,0
"Sao Tome and Principe",2,4,0,0
"Sao Tome and Principe",3,4,0,0
"Sao Tome and Principe",4,4,0,0
"Sao Tome and Principe",5,4,0,0
"Sao Tome and Principe",6,4,0,0
"Sao Tome and Principe",7,4,0,0
"Sao Tome and Principe",8,4,0,0
"Sao Tome and Principe",9,4,0,0
"Sao Tome and Principe",10,4,0,0
"Sao Tome and Principe",11,4,0,0
"Sao Tome and Principe",12,4,0,0
"Sao Tome and Principe",13,4,0,0
"Sao Tome and Principe",14,4,0,0
"Sao Tome and Principe",15,4,0,0
"Sao Tome and Principe",16,4,0,0
"Sao Tome and Principe",17,4,0,0
"Sao Tome and Principe",18,4,0,0
"Sao Tome and Principe",19,4,0,0
"Sao Tome and Principe",20,4,0,0
"Sao Tome and Principe",21,4,0,0
"Sao Tome and Principe",22,4,0,0
"Sao Tome and Principe",23,8,0,4
"Sao Tome and Principe",24,8,0,4
"Sao Tome and Principe",25,14,0,4
"Sao Tome and Principe",26,16,1,4
"Sao Tome and Principe",27,16,1,4
"Sao Tome and Principe",28,16,1,4
"Sao Tome and Principe",29,23,3,4
"Sao Tome and Principe",30,174,3,4
"Sao Tome and Principe",31,174,3,4
"Sao Tome and Principe",32,187,4,4
"Sao Tome and Principe",33,208,5,4
"Sao Tome and Principe",34,208,5,4
"Sao Tome and Principe",35,208,5,4
"Sao Tome and Principe",36,208,5,4
"Sao Tome and Principe",37,208,5,4
"Sao Tome and Principe",38,220,6,4
