"Country","Day","Confirmed","Deaths","Recovered"
"Senegal",1,1,0,0
"Senegal",2,2,0,0
"Senegal",3,4,0,0
"Senegal",4,4,0,0
"Senegal",5,4,0,0
"Senegal",6,4,0,0
"Senegal",7,4,0,1
"Senegal",8,4,0,1
"Senegal",9,4,0,1
"Senegal",10,4,0,1
"Senegal",11,4,0,1
"Senegal",12,10,0,1
"Senegal",13,10,0,1
"Senegal",14,24,0,1
"Senegal",15,24,0,2
"Senegal",16,26,0,2
"Senegal",17,31,0,2
"Senegal",18,31,0,2
"Senegal",19,38,0,2
"Senegal",20,47,0,5
"Senegal",21,67,0,5
"Senegal",22,79,0,8
"Senegal",23,86,0,8
"Senegal",24,99,0,9
"Senegal",25,105,0,9
"Senegal",26,119,0,11
"Senegal",27,130,0,18
"Senegal",28,142,0,27
"Senegal",29,162,0,27
"Senegal",30,175,0,40
"Senegal",31,190,1,45
"Senegal",32,195,1,55
"Senegal",33,207,1,66
"Senegal",34,219,2,72
"Senegal",35,222,2,82
"Senegal",36,226,2,92
"Senegal",37,237,2,105
"Senegal",38,244,2,113
"Senegal",39,250,2,123
"Senegal",40,265,2,137
"Senegal",41,278,2,152
"Senegal",42,280,2,171
"Senegal",43,291,2,178
"Senegal",44,299,2,183
"Senegal",45,314,2,190
"Senegal",46,335,2,194
"Senegal",47,342,2,198
"Senegal",48,350,3,211
"Senegal",49,367,3,220
"Senegal",50,377,5,235
"Senegal",51,412,5,242
"Senegal",52,442,6,253
"Senegal",53,479,6,257
"Senegal",54,545,7,262
"Senegal",55,614,7,276
"Senegal",56,671,9,283
"Senegal",57,736,9,284
"Senegal",58,823,9,296
"Senegal",59,882,9,315
"Senegal",60,933,9,334
"Senegal",61,1024,9,356
"Senegal",62,1115,9,368
"Senegal",63,1182,9,372
"Senegal",64,1271,10,415
"Senegal",65,1329,11,470
