"Country","Day","Confirmed","Deaths","Recovered"
"Serbia",1,1,0,0
"Serbia",2,1,0,0
"Serbia",3,1,0,0
"Serbia",4,1,0,0
"Serbia",5,5,0,0
"Serbia",6,12,0,0
"Serbia",7,19,0,0
"Serbia",8,35,0,0
"Serbia",9,46,0,0
"Serbia",10,48,0,0
"Serbia",11,55,0,1
"Serbia",12,65,0,1
"Serbia",13,83,0,1
"Serbia",14,103,0,1
"Serbia",15,135,1,1
"Serbia",16,171,1,1
"Serbia",17,222,2,2
"Serbia",18,249,3,3
"Serbia",19,303,3,15
"Serbia",20,384,4,15
"Serbia",21,384,1,0
"Serbia",22,457,1,0
"Serbia",23,659,10,0
"Serbia",24,741,13,0
"Serbia",25,785,16,0
"Serbia",26,900,16,0
"Serbia",27,1060,28,0
"Serbia",28,1171,31,0
"Serbia",29,1476,39,0
"Serbia",30,1624,44,0
"Serbia",31,1908,51,0
"Serbia",32,2200,58,0
"Serbia",33,2447,61,0
"Serbia",34,2666,65,0
"Serbia",35,2867,66,0
"Serbia",36,3105,71,0
"Serbia",37,3380,74,0
"Serbia",38,3630,80,0
"Serbia",39,4054,85,0
"Serbia",40,4465,94,0
"Serbia",41,4873,99,0
"Serbia",42,5318,103,0
"Serbia",43,5690,110,534
"Serbia",44,5994,117,637
"Serbia",45,6318,122,753
"Serbia",46,6630,125,870
"Serbia",47,6630,125,870
"Serbia",48,6630,125,870
"Serbia",49,6630,125,870
"Serbia",50,6630,125,870
"Serbia",51,6630,125,870
"Serbia",52,6630,125,870
"Serbia",53,6630,125,870
"Serbia",54,6630,125,870
"Serbia",55,6630,125,870
"Serbia",56,9009,179,1343
"Serbia",57,9009,179,1343
"Serbia",58,9362,189,1426
"Serbia",59,9464,193,1551
"Serbia",60,9557,197,1574
"Serbia",61,9677,200,1723
"Serbia",62,9791,203,1971
"Serbia",63,9848,206,2160
"Serbia",64,9943,209,2453
"Serbia",65,10032,215,2732
"Serbia",66,10032,215,2732
"Serbia",67,10176,218,3290
"Serbia",68,10243,220,3600
"Serbia",69,10295,222,3824
