"Country","Day","Confirmed"
"Singapore",2,1
"Singapore",3,3
"Singapore",4,3
"Singapore",5,4
"Singapore",6,5
"Singapore",7,7
"Singapore",8,7
"Singapore",9,10
"Singapore",10,13
"Singapore",11,16
"Singapore",12,18
"Singapore",13,18
"Singapore",14,24
"Singapore",15,28
"Singapore",16,28
"Singapore",17,30
"Singapore",18,33
"Singapore",19,40
"Singapore",20,45
"Singapore",21,47
"Singapore",22,50
"Singapore",23,58
"Singapore",24,67
"Singapore",25,72
"Singapore",26,75
"Singapore",27,77
"Singapore",28,81
"Singapore",29,84
"Singapore",30,84
"Singapore",31,85
"Singapore",32,85
"Singapore",33,89
"Singapore",34,89
"Singapore",35,91
"Singapore",36,93
"Singapore",37,93
"Singapore",38,93
"Singapore",39,102
"Singapore",40,106
"Singapore",41,108
"Singapore",42,110
"Singapore",43,110
"Singapore",44,117
"Singapore",45,130
"Singapore",46,138
"Singapore",47,150
"Singapore",48,150
