"Country","Day","Confirmed","Deaths","Recovered"
"Slovakia",1,1,0,0
"Slovakia",2,1,0,0
"Slovakia",3,3,0,0
"Slovakia",4,3,0,0
"Slovakia",5,7,0,0
"Slovakia",6,10,0,0
"Slovakia",7,16,0,0
"Slovakia",8,32,0,0
"Slovakia",9,44,0,0
"Slovakia",10,54,0,0
"Slovakia",11,63,0,0
"Slovakia",12,72,0,0
"Slovakia",13,105,1,0
"Slovakia",14,123,1,0
"Slovakia",15,137,1,0
"Slovakia",16,178,1,0
"Slovakia",17,185,0,7
"Slovakia",18,186,0,7
"Slovakia",19,204,0,7
"Slovakia",20,216,0,7
"Slovakia",21,226,0,2
"Slovakia",22,269,0,2
"Slovakia",23,292,0,2
"Slovakia",24,314,0,2
"Slovakia",25,336,0,7
"Slovakia",26,363,0,3
"Slovakia",27,400,1,3
"Slovakia",28,426,1,5
"Slovakia",29,450,1,10
"Slovakia",30,471,1,10
"Slovakia",31,485,1,10
"Slovakia",32,534,2,8
"Slovakia",33,581,2,13
"Slovakia",34,682,2,16
"Slovakia",35,701,2,23
"Slovakia",36,715,2,23
"Slovakia",37,728,2,23
"Slovakia",38,742,2,23
"Slovakia",39,769,2,107
"Slovakia",40,835,2,113
"Slovakia",41,863,6,151
"Slovakia",42,977,8,167
"Slovakia",43,1049,9,175
"Slovakia",44,1089,11,213
"Slovakia",45,1161,12,229
"Slovakia",46,1173,13,251
"Slovakia",47,1199,14,258
"Slovakia",48,1244,14,284
"Slovakia",49,1325,15,288
"Slovakia",50,1360,17,355
"Slovakia",51,1373,17,386
"Slovakia",52,1379,18,394
"Slovakia",53,1381,18,403
"Slovakia",54,1384,20,423
"Slovakia",55,1391,22,484
"Slovakia",56,1396,23,524
"Slovakia",57,1403,23,558
"Slovakia",58,1407,24,608
"Slovakia",59,1408,24,619
"Slovakia",60,1413,25,643
"Slovakia",61,1421,25,741
