"Country","Day","Confirmed","Deaths","Recovered"
"Slovenia",1,2,0,0
"Slovenia",2,7,0,0
"Slovenia",3,7,0,0
"Slovenia",4,16,0,0
"Slovenia",5,16,0,0
"Slovenia",6,31,0,0
"Slovenia",7,57,0,0
"Slovenia",8,89,0,0
"Slovenia",9,141,0,0
"Slovenia",10,181,1,0
"Slovenia",11,219,1,0
"Slovenia",12,253,1,0
"Slovenia",13,275,1,0
"Slovenia",14,275,1,0
"Slovenia",15,286,1,0
"Slovenia",16,341,1,0
"Slovenia",17,383,1,0
"Slovenia",18,414,2,0
"Slovenia",19,442,3,0
"Slovenia",20,480,4,3
"Slovenia",21,528,5,10
"Slovenia",22,562,6,10
"Slovenia",23,632,9,10
"Slovenia",24,684,9,10
"Slovenia",25,730,11,10
"Slovenia",26,756,11,10
"Slovenia",27,802,15,10
"Slovenia",28,841,15,10
"Slovenia",29,897,17,70
"Slovenia",30,934,20,70
"Slovenia",31,977,22,79
"Slovenia",32,997,28,79
"Slovenia",33,1021,30,102
"Slovenia",34,1059,36,102
"Slovenia",35,1091,40,120
"Slovenia",36,1124,43,128
"Slovenia",37,1160,45,137
"Slovenia",38,1188,50,148
"Slovenia",39,1205,53,150
"Slovenia",40,1212,55,152
"Slovenia",41,1220,56,152
"Slovenia",42,1248,61,165
"Slovenia",43,1268,61,174
"Slovenia",44,1304,66,174
"Slovenia",45,1317,70,190
"Slovenia",46,1330,74,192
"Slovenia",47,1335,77,193
"Slovenia",48,1344,77,197
"Slovenia",49,1353,79,205
"Slovenia",50,1366,79,211
"Slovenia",51,1373,80,211
"Slovenia",52,1388,81,219
"Slovenia",53,1396,82,221
"Slovenia",54,1402,83,221
"Slovenia",55,1408,86,223
"Slovenia",56,1418,89,230
"Slovenia",57,1429,91,233
"Slovenia",58,1434,92,233
"Slovenia",59,1439,94,239
"Slovenia",60,1439,96,241
"Slovenia",61,1439,97,241
"Slovenia",62,1445,98,244
"Slovenia",63,1448,99,246
"Slovenia",64,1449,99,247
"Slovenia",65,1450,100,252
"Slovenia",66,1454,101,255
"Slovenia",67,1457,102,256
"Slovenia",68,1460,102,256
"Slovenia",69,1461,102,259
"Slovenia",70,1463,103,260
