"Country","Day","Confirmed","Deaths","Recovered"
"Somalia",1,1,0,0
"Somalia",2,1,0,0
"Somalia",3,1,0,0
"Somalia",4,1,0,0
"Somalia",5,1,0,0
"Somalia",6,1,0,0
"Somalia",7,1,0,0
"Somalia",8,1,0,0
"Somalia",9,1,0,0
"Somalia",10,1,0,0
"Somalia",11,2,0,0
"Somalia",12,3,0,0
"Somalia",13,3,0,0
"Somalia",14,3,0,0
"Somalia",15,3,0,0
"Somalia",16,5,0,1
"Somalia",17,5,0,1
"Somalia",18,5,0,1
"Somalia",19,7,0,1
"Somalia",20,7,0,1
"Somalia",21,7,0,1
"Somalia",22,7,0,1
"Somalia",23,8,0,1
"Somalia",24,12,1,1
"Somalia",25,12,1,1
"Somalia",26,21,1,1
"Somalia",27,21,1,1
"Somalia",28,25,1,2
"Somalia",29,60,2,2
"Somalia",30,60,2,2
"Somalia",31,80,5,2
"Somalia",32,80,5,2
