"Country","Day","Confirmed","Deaths","Recovered"
"South Africa",1,1,0,0
"South Africa",2,1,0,0
"South Africa",3,1,0,0
"South Africa",4,3,0,0
"South Africa",5,3,0,0
"South Africa",6,7,0,0
"South Africa",7,13,0,0
"South Africa",8,17,0,0
"South Africa",9,24,0,0
"South Africa",10,38,0,0
"South Africa",11,51,0,0
"South Africa",12,62,0,0
"South Africa",13,62,0,0
"South Africa",14,116,0,0
"South Africa",15,150,0,0
"South Africa",16,202,0,0
"South Africa",17,240,0,0
"South Africa",18,274,0,2
"South Africa",19,402,0,4
"South Africa",20,554,0,4
"South Africa",21,709,0,12
"South Africa",22,927,0,12
"South Africa",23,1170,1,31
"South Africa",24,1187,1,31
"South Africa",25,1280,2,31
"South Africa",26,1326,3,31
"South Africa",27,1353,5,31
"South Africa",28,1380,5,50
"South Africa",29,1462,5,50
