"Country","Day","Confirmed"
"South Korea",1,1
"South Korea",2,1
"South Korea",3,2
"South Korea",4,2
"South Korea",5,3
"South Korea",6,4
"South Korea",7,4
"South Korea",8,4
"South Korea",9,4
"South Korea",10,11
"South Korea",11,12
"South Korea",12,15
"South Korea",13,15
"South Korea",14,16
"South Korea",15,19
"South Korea",16,23
"South Korea",17,24
"South Korea",18,24
"South Korea",19,25
"South Korea",20,27
"South Korea",21,28
"South Korea",22,28
"South Korea",23,28
"South Korea",24,28
"South Korea",25,28
"South Korea",26,29
"South Korea",27,30
"South Korea",28,31
"South Korea",29,31
"South Korea",30,104
"South Korea",31,204
"South Korea",32,433
"South Korea",33,602
"South Korea",34,833
"South Korea",35,977
"South Korea",36,1261
"South Korea",37,1766
"South Korea",38,2337
"South Korea",39,3150
"South Korea",40,3736
"South Korea",41,4335
"South Korea",42,5186
"South Korea",43,5621
"South Korea",44,6088
"South Korea",45,6593
"South Korea",46,7041
"South Korea",47,7314
"South Korea",48,7478
"South Korea",49,7513
"South Korea",50,7755
"South Korea",51,7869
