"Country","Day","Confirmed","Deaths","Recovered"
"South Sudan",1,1,0,0
"South Sudan",2,1,0,0
"South Sudan",3,2,0,0
"South Sudan",4,2,0,0
"South Sudan",5,3,0,0
"South Sudan",6,4,0,0
"South Sudan",7,4,0,0
"South Sudan",8,4,0,0
"South Sudan",9,4,0,0
"South Sudan",10,4,0,0
"South Sudan",11,4,0,0
"South Sudan",12,4,0,0
"South Sudan",13,4,0,0
"South Sudan",14,4,0,0
"South Sudan",15,4,0,0
"South Sudan",16,4,0,0
"South Sudan",17,4,0,0
"South Sudan",18,4,0,0
"South Sudan",19,5,0,0
"South Sudan",20,5,0,0
"South Sudan",21,5,0,0
"South Sudan",22,6,0,0
"South Sudan",23,6,0,0
"South Sudan",24,34,0,0
"South Sudan",25,34,0,0
"South Sudan",26,35,0,0
"South Sudan",27,45,0,0
"South Sudan",28,45,0,0
"South Sudan",29,46,0,0
"South Sudan",30,46,0,0
"South Sudan",31,52,0,0
