"Country","Day","Confirmed","Deaths","Recovered"
"Sudan",1,1,1,0
"Sudan",2,1,1,0
"Sudan",3,1,1,0
"Sudan",4,1,1,0
"Sudan",5,1,1,0
"Sudan",6,2,1,0
"Sudan",7,2,1,0
"Sudan",8,2,1,0
"Sudan",9,2,1,0
"Sudan",10,2,1,0
"Sudan",11,2,1,0
"Sudan",12,3,1,0
"Sudan",13,3,1,0
"Sudan",14,3,1,0
"Sudan",15,3,1,0
"Sudan",16,5,1,0
"Sudan",17,6,1,0
"Sudan",18,6,2,0
"Sudan",19,7,2,1
"Sudan",20,7,2,2
"Sudan",21,8,2,2
"Sudan",22,10,2,2
"Sudan",23,10,2,2
"Sudan",24,12,2,2
"Sudan",25,12,2,2
"Sudan",26,14,2,2
"Sudan",27,14,2,2
"Sudan",28,15,2,2
"Sudan",29,17,2,2
"Sudan",30,19,2,2
"Sudan",31,19,2,2
"Sudan",32,29,4,4
"Sudan",33,32,5,4
"Sudan",34,32,5,4
"Sudan",35,32,5,4
"Sudan",36,33,6,4
"Sudan",37,66,10,6
"Sudan",38,66,10,6
"Sudan",39,107,12,8
"Sudan",40,107,12,8
"Sudan",41,140,13,12
"Sudan",42,174,16,14
"Sudan",43,174,16,14
"Sudan",44,213,17,19
"Sudan",45,237,21,20
"Sudan",46,275,22,21
"Sudan",47,318,25,31
"Sudan",48,375,28,32
"Sudan",49,442,31,39
"Sudan",50,533,36,46
"Sudan",51,592,41,52
"Sudan",52,592,41,52
"Sudan",53,678,41,61
"Sudan",54,778,45,70
"Sudan",55,852,49,80
"Sudan",56,930,52,92
"Sudan",57,1111,59,102
"Sudan",58,1164,64,119
"Sudan",59,1365,70,149
"Sudan",60,1526,74,162
"Sudan",61,1661,80,173
"Sudan",62,1818,90,198
