"Country","Day","Confirmed","Deaths","Recovered"
"Switzerland",1,1,0,0
"Switzerland",2,1,0,0
"Switzerland",3,8,0,0
"Switzerland",4,8,0,0
"Switzerland",5,18,0,0
"Switzerland",6,27,0,0
"Switzerland",7,42,0,0
"Switzerland",8,56,0,2
"Switzerland",9,90,0,3
"Switzerland",10,114,1,3
"Switzerland",11,214,1,3
"Switzerland",12,268,1,3
"Switzerland",13,337,2,3
"Switzerland",14,374,2,3
"Switzerland",15,491,3,3
"Switzerland",16,652,4,4
"Switzerland",17,652,4,4
"Switzerland",18,1139,11,4
"Switzerland",19,1359,13,4
"Switzerland",20,2200,14,4
"Switzerland",21,2200,14,4
"Switzerland",22,2700,27,4
"Switzerland",23,3028,28,15
"Switzerland",24,4075,41,15
"Switzerland",25,5294,54,15
"Switzerland",26,6575,75,15
"Switzerland",27,7474,98,131
"Switzerland",28,8795,120,131
"Switzerland",29,9877,122,131
"Switzerland",30,10897,153,131
"Switzerland",31,11811,191,131
"Switzerland",32,12928,231,1530
"Switzerland",33,14076,264,1530
"Switzerland",34,14829,300,1595
"Switzerland",35,15922,359,1823
"Switzerland",36,16605,433,1823
"Switzerland",37,17768,488,2967
"Switzerland",38,18827,536,4013
"Switzerland",39,19606,591,4846
"Switzerland",40,20505,666,6415
"Switzerland",41,21100,715,6415
"Switzerland",42,21657,765,8056
"Switzerland",43,22253,821,8704
"Switzerland",44,23280,895,9800
"Switzerland",45,24051,948,10600
"Switzerland",46,24551,1002,11100
"Switzerland",47,25107,1036,12100
"Switzerland",48,25415,1106,12700
"Switzerland",49,25688,1138,13700
"Switzerland",50,25936,1174,13700
"Switzerland",51,26336,1239,15400
"Switzerland",52,26732,1281,15900
"Switzerland",53,27078,1327,16400
"Switzerland",54,27404,1368,17100
"Switzerland",55,27740,1393,17800
"Switzerland",56,27944,1429,18600
"Switzerland",57,28063,1478,19400
"Switzerland",58,28268,1509,19900
"Switzerland",59,28496,1549,20600
"Switzerland",60,28677,1589,21000
"Switzerland",61,28894,1599,21300
"Switzerland",62,29061,1610,21800
"Switzerland",63,29164,1665,22200
"Switzerland",64,29264,1699,22600
"Switzerland",65,29407,1716,22600
"Switzerland",66,29586,1737,23400
"Switzerland",67,29705,1754,23900
"Switzerland",68,29817,1762,24200
"Switzerland",69,29905,1762,24500
"Switzerland",70,29981,1784,25200
"Switzerland",71,30009,1795,25400
"Switzerland",72,30060,1805,25700
"Switzerland",73,30126,1810,25900
"Switzerland",74,30207,1823,26100
"Switzerland",75,30251,1830,26400
"Switzerland",76,30305,1833,26600
"Switzerland",77,30344,1845,26800
"Switzerland",78,30380,1867,26800
"Switzerland",79,30413,1870,27100
