"Country","Day","Confirmed","Deaths","Recovered"
"Taiwan*",1,48,1,17
"Taiwan*",2,49,1,20
"Taiwan*",3,50,1,20
"Taiwan*",4,53,1,20
"Taiwan*",5,59,1,20
"Taiwan*",6,67,1,20
"Taiwan*",7,77,1,22
"Taiwan*",8,100,1,22
"Taiwan*",9,108,1,26
"Taiwan*",10,135,2,26
"Taiwan*",11,153,2,28
"Taiwan*",12,169,2,28
"Taiwan*",13,195,2,28
"Taiwan*",14,215,2,29
"Taiwan*",15,235,2,29
"Taiwan*",16,252,2,29
"Taiwan*",17,267,2,29
"Taiwan*",18,283,2,30
"Taiwan*",19,298,2,30
"Taiwan*",20,306,5,39
"Taiwan*",21,322,5,39
"Taiwan*",22,329,5,39
"Taiwan*",23,339,5,45
"Taiwan*",24,348,5,50
"Taiwan*",25,355,5,50
"Taiwan*",26,363,5,50
"Taiwan*",27,373,5,57
"Taiwan*",28,376,5,57
"Taiwan*",29,379,5,61
"Taiwan*",30,380,5,67
"Taiwan*",31,382,6,91
"Taiwan*",32,385,6,99
"Taiwan*",33,388,6,109
"Taiwan*",34,393,6,109
"Taiwan*",35,393,6,124
"Taiwan*",36,395,6,124
"Taiwan*",37,395,6,155
"Taiwan*",38,395,6,166
"Taiwan*",39,398,6,178
"Taiwan*",40,420,6,189
"Taiwan*",41,422,6,203
"Taiwan*",42,425,6,217
"Taiwan*",43,426,6,236
"Taiwan*",44,427,6,253
"Taiwan*",45,428,6,264
"Taiwan*",46,429,6,275
"Taiwan*",47,429,6,281
"Taiwan*",48,429,6,290
"Taiwan*",49,429,6,307
"Taiwan*",50,429,6,311
"Taiwan*",51,429,6,322
"Taiwan*",52,429,6,324
"Taiwan*",53,432,6,324
"Taiwan*",54,436,6,332
"Taiwan*",55,438,6,334
"Taiwan*",56,438,6,334
