"Country","Day","Confirmed","Deaths","Recovered"
"Thailand",1,2,0,0
"Thailand",2,3,0,0
"Thailand",3,5,0,0
"Thailand",4,7,0,0
"Thailand",5,8,0,2
"Thailand",6,8,0,2
"Thailand",7,14,0,5
"Thailand",8,14,0,5
"Thailand",9,14,0,5
"Thailand",10,19,0,5
"Thailand",11,19,0,5
"Thailand",12,19,0,5
"Thailand",13,19,0,5
"Thailand",14,25,0,5
"Thailand",15,25,0,5
"Thailand",16,25,0,5
"Thailand",17,25,0,5
"Thailand",18,32,0,10
"Thailand",19,32,0,10
"Thailand",20,32,0,10
"Thailand",21,33,0,10
"Thailand",22,33,0,10
"Thailand",23,33,0,12
"Thailand",24,33,0,12
"Thailand",25,33,0,12
"Thailand",26,34,0,14
"Thailand",27,35,0,15
"Thailand",28,35,0,15
"Thailand",29,35,0,15
"Thailand",30,35,0,15
"Thailand",31,35,0,17
"Thailand",32,35,0,17
"Thailand",33,35,0,21
"Thailand",34,35,0,21
"Thailand",35,37,0,22
"Thailand",36,40,0,22
"Thailand",37,40,0,22
"Thailand",38,41,0,28
"Thailand",39,42,0,28
"Thailand",40,42,1,28
"Thailand",41,43,1,31
"Thailand",42,43,1,31
"Thailand",43,43,1,31
"Thailand",44,47,1,31
"Thailand",45,48,1,31
"Thailand",46,50,1,31
"Thailand",47,50,1,31
"Thailand",48,50,1,31
"Thailand",49,53,1,33
"Thailand",50,59,1,34
"Thailand",51,70,1,34
"Thailand",52,75,1,35
"Thailand",53,82,1,35
"Thailand",54,114,1,35
"Thailand",55,147,1,35
"Thailand",56,177,1,41
"Thailand",57,212,1,42
"Thailand",58,272,1,42
"Thailand",59,322,1,42
"Thailand",60,411,1,42
