"Country","Day","Confirmed","Deaths","Recovered"
"Togo",1,1,0,0
"Togo",2,1,0,0
"Togo",3,1,0,0
"Togo",4,1,0,0
"Togo",5,1,0,0
"Togo",6,1,0,0
"Togo",7,1,0,0
"Togo",8,1,0,0
"Togo",9,1,0,0
"Togo",10,1,0,0
"Togo",11,1,0,0
"Togo",12,1,0,0
"Togo",13,1,0,0
"Togo",14,1,0,0
"Togo",15,9,0,1
"Togo",16,16,0,1
"Togo",17,16,0,0
"Togo",18,18,0,0
"Togo",19,20,0,1
"Togo",20,23,0,1
"Togo",21,23,0,1
"Togo",22,25,1,1
"Togo",23,25,1,1
"Togo",24,25,1,1
"Togo",25,30,1,1
"Togo",26,34,1,10
"Togo",27,36,2,10
"Togo",28,39,2,17
"Togo",29,40,3,17
"Togo",30,41,3,17
"Togo",31,44,3,20
"Togo",32,58,3,23
"Togo",33,65,3,23
"Togo",34,70,3,23
"Togo",35,73,3,24
"Togo",36,76,3,25
"Togo",37,76,3,25
"Togo",38,76,3,29
"Togo",39,77,3,29
"Togo",40,77,3,32
"Togo",41,81,3,35
"Togo",42,81,5,45
"Togo",43,83,5,48
"Togo",44,84,5,49
"Togo",45,84,5,52
"Togo",46,84,6,53
"Togo",47,86,6,56
"Togo",48,88,6,56
"Togo",49,88,6,59
"Togo",50,90,6,59
"Togo",51,96,6,62
"Togo",52,98,6,62
"Togo",53,98,6,62
"Togo",54,99,6,63
"Togo",55,109,7,64
"Togo",56,116,9,65
"Togo",57,123,9,66
"Togo",58,123,9,66
"Togo",59,124,9,67
"Togo",60,126,9,74
"Togo",61,128,9,74
"Togo",62,128,9,77
"Togo",63,135,9,85
"Togo",64,145,10,85
"Togo",65,153,10,87
"Togo",66,174,11,89
"Togo",67,181,11,89
"Togo",68,199,11,92
"Togo",69,219,11,96
