"Country","Day","Confirmed","Deaths","Recovered"
"Trinidad and Tobago",1,2,0,0
"Trinidad and Tobago",2,2,0,0
"Trinidad and Tobago",3,4,0,0
"Trinidad and Tobago",4,5,0,0
"Trinidad and Tobago",5,7,0,0
"Trinidad and Tobago",6,9,0,0
"Trinidad and Tobago",7,9,0,0
"Trinidad and Tobago",8,49,0,1
"Trinidad and Tobago",9,50,0,0
"Trinidad and Tobago",10,51,0,0
"Trinidad and Tobago",11,57,0,0
"Trinidad and Tobago",12,60,1,0
"Trinidad and Tobago",13,65,1,0
"Trinidad and Tobago",14,66,2,1
"Trinidad and Tobago",15,74,3,1
"Trinidad and Tobago",16,78,3,1
"Trinidad and Tobago",17,82,3,1
"Trinidad and Tobago",18,87,3,1
"Trinidad and Tobago",19,90,5,1
"Trinidad and Tobago",20,94,5,1
"Trinidad and Tobago",21,98,6,1
"Trinidad and Tobago",22,103,6,1
"Trinidad and Tobago",23,104,7,1
"Trinidad and Tobago",24,105,8,1
"Trinidad and Tobago",25,107,8,1
"Trinidad and Tobago",26,107,8,1
"Trinidad and Tobago",27,109,8,1
"Trinidad and Tobago",28,109,8,1
"Trinidad and Tobago",29,112,8,12
"Trinidad and Tobago",30,113,8,16
"Trinidad and Tobago",31,113,8,16
"Trinidad and Tobago",32,113,8,17
"Trinidad and Tobago",33,114,8,19
"Trinidad and Tobago",34,114,8,20
"Trinidad and Tobago",35,114,8,20
"Trinidad and Tobago",36,114,8,21
"Trinidad and Tobago",37,114,8,21
"Trinidad and Tobago",38,114,8,22
"Trinidad and Tobago",39,115,8,28
"Trinidad and Tobago",40,115,8,37
"Trinidad and Tobago",41,115,8,48
"Trinidad and Tobago",42,115,8,48
"Trinidad and Tobago",43,115,8,53
"Trinidad and Tobago",44,115,8,54
"Trinidad and Tobago",45,116,8,59
"Trinidad and Tobago",46,116,8,59
"Trinidad and Tobago",47,116,8,71
"Trinidad and Tobago",48,116,8,72
"Trinidad and Tobago",49,116,8,83
"Trinidad and Tobago",50,116,8,88
"Trinidad and Tobago",51,116,8,93
"Trinidad and Tobago",52,116,8,99
"Trinidad and Tobago",53,116,8,103
"Trinidad and Tobago",54,116,8,103
"Trinidad and Tobago",55,116,8,103
"Trinidad and Tobago",56,116,8,103
"Trinidad and Tobago",57,116,8,104
"Trinidad and Tobago",58,116,8,107
"Trinidad and Tobago",59,116,8,107
"Trinidad and Tobago",60,116,8,107
"Trinidad and Tobago",61,116,8,107
