"Country","Day","Confirmed","Deaths","Recovered"
"Turkey",1,1,0,0
"Turkey",2,1,0,0
"Turkey",3,5,0,0
"Turkey",4,5,0,0
"Turkey",5,6,0,0
"Turkey",6,18,0,0
"Turkey",7,47,1,0
"Turkey",8,98,1,0
"Turkey",9,192,3,0
"Turkey",10,359,4,0
"Turkey",11,670,9,0
"Turkey",12,1236,30,0
"Turkey",13,1529,37,0
"Turkey",14,1872,44,0
"Turkey",15,2433,59,26
"Turkey",16,3629,75,26
"Turkey",17,5698,92,42
"Turkey",18,7402,108,70
"Turkey",19,9217,131,105
"Turkey",20,10827,168,162
"Turkey",21,13531,214,243
"Turkey",22,15679,277,333
"Turkey",23,18135,356,415
"Turkey",24,20921,425,484
"Turkey",25,23934,501,786
"Turkey",26,27069,574,1042
"Turkey",27,30217,649,1326
"Turkey",28,34109,725,1582
"Turkey",29,38226,812,1846
"Turkey",30,42282,908,2142
"Turkey",31,47029,1006,2423
"Turkey",32,52167,1101,2965
"Turkey",33,56956,1198,3446
"Turkey",34,61049,1296,3957
"Turkey",35,65111,1403,4799
"Turkey",36,69392,1518,5674
"Turkey",37,74193,1643,7089
"Turkey",38,78546,1769,8631
"Turkey",39,82329,1890,10453
"Turkey",40,86306,2017,11976
"Turkey",41,90980,2140,13430
"Turkey",42,95591,2259,14918
"Turkey",43,98674,2376,16477
"Turkey",44,101790,2491,18491
"Turkey",45,104912,2600,21737
"Turkey",46,107773,2706,25582
"Turkey",47,110130,2805,29140
"Turkey",48,112261,2900,33791
"Turkey",49,114653,2992,38809
"Turkey",50,117589,3081,44040
"Turkey",51,120204,3174,48886
"Turkey",52,122392,3258,53808
"Turkey",53,124375,3336,58259
"Turkey",54,126045,3397,63151
"Turkey",55,127659,3461,68166
"Turkey",56,129491,3520,73285
"Turkey",57,131744,3584,78202
"Turkey",58,133721,3641,82984
"Turkey",59,135569,3689,86396
"Turkey",60,137115,3739,89480
"Turkey",61,138657,3786,92691
"Turkey",62,139771,3841,95780
"Turkey",63,141475,3894,98889
"Turkey",64,143114,3952,101715
