"Country","Day","Confirmed"
"UK",1,2
"UK",2,2
"UK",3,2
"UK",4,2
"UK",5,2
"UK",6,2
"UK",7,2
"UK",8,3
"UK",9,3
"UK",10,3
"UK",11,8
"UK",12,8
"UK",13,9
"UK",14,9
"UK",15,9
"UK",16,9
"UK",17,9
"UK",18,9
"UK",19,9
"UK",20,9
"UK",21,9
"UK",22,9
"UK",23,9
"UK",24,9
"UK",25,13
"UK",26,13
"UK",27,13
"UK",28,15
"UK",29,20
"UK",30,23
"UK",31,36
"UK",32,40
"UK",33,51
"UK",34,85
"UK",35,115
"UK",36,163
"UK",37,206
"UK",38,273
"UK",39,321
"UK",40,382
"UK",41,459
"UK",42,459
"UK",43,801
"UK",44,1143
"UK",45,1144
