"Country","Day","Confirmed","Deaths","Recovered"
"US",1,1,0,0
"US",2,1,0,0
"US",3,2,0,0
"US",4,2,0,0
"US",5,5,0,0
"US",6,5,0,0
"US",7,5,0,0
"US",8,5,0,0
"US",9,5,0,0
"US",10,6,0,0
"US",11,8,0,0
"US",12,8,0,0
"US",13,11,0,0
"US",14,11,0,0
"US",15,12,0,0
"US",16,12,0,0
"US",17,12,0,0
"US",18,12,0,0
"US",19,12,0,3
"US",20,12,0,3
"US",21,13,0,3
"US",22,13,0,3
"US",23,15,0,3
"US",24,15,0,3
"US",25,15,0,3
"US",26,15,0,3
"US",27,15,0,3
"US",28,15,0,3
"US",29,15,0,3
"US",30,15,0,3
"US",31,35,0,5
"US",32,35,0,5
"US",33,35,0,5
"US",34,53,0,5
"US",35,53,0,6
"US",36,59,0,6
"US",37,60,0,6
"US",38,62,0,7
"US",39,70,1,7
"US",40,76,1,7
"US",41,101,6,7
"US",42,122,7,8
"US",43,153,11,8
"US",44,221,12,8
"US",45,278,14,8
"US",46,417,17,8
"US",47,537,21,8
"US",48,605,22,8
"US",49,959,28,8
"US",50,1281,36,8
"US",51,1663,40,12
"US",52,2179,47,12
"US",53,2726,54,12
"US",54,3499,63,12
"US",55,4632,85,17
"US",56,6421,108,17
"US",57,7786,118,106
"US",58,13680,200,108
"US",59,19101,244,147
"US",60,25514,307,171
"US",61,33848,427,0
"US",62,43663,548,0
"US",63,53736,658,0
"US",64,65778,907,0
"US",65,83836,1159,0
"US",66,101657,1485,0
"US",67,121465,1902,0
"US",68,140909,2288,0
"US",69,161831,2665,0
"US",70,188172,3364,0
"US",71,213372,4130,0
"US",72,243599,5197,0
"US",73,275586,6064,0
"US",74,308853,7175,0
"US",75,337072,8337,0
"US",76,366667,10403,0
"US",77,396223,12537,0
"US",78,429052,14483,0
"US",79,461437,16283,0
"US",80,496535,18437,0
"US",81,526396,20290,0
"US",82,555313,21877,0
"US",83,580619,23427,0
"US",84,607670,25706,0
"US",85,636350,28153,0
"US",86,667801,32747,0
"US",87,699706,36076,0
"US",88,732197,37462,0
"US",89,759086,40093,0
"US",90,784326,41813,0
"US",91,811865,44140,0
"US",92,840220,46483,0
"US",93,869170,49834,0
"US",94,905333,51812,0
"US",95,938154,53605,0
"US",96,965783,54722,0
"US",97,988197,56157,0
"US",98,1012582,58235,0
"US",99,1039909,60864,0
"US",100,1069424,62779,0
"US",101,1103461,64805,0
"US",102,1132539,66258,0
"US",103,1158040,67548,0
"US",104,1180375,68775,0
"US",105,1204351,70945,0
"US",106,1228603,73198,0
"US",107,1257023,75422,0
"US",108,1283929,76945,0
"US",109,1309550,78528,0
"US",110,1329260,79263,0
"US",111,1347881,80404,0
"US",112,1369574,82083,0
"US",113,1390406,83829,0
