"Country","Day","Confirmed","Deaths","Recovered"
"Uganda",1,1,0,0
"Uganda",2,1,0,0
"Uganda",3,9,0,0
"Uganda",4,9,0,0
"Uganda",5,14,0,0
"Uganda",6,14,0,0
"Uganda",7,23,0,0
"Uganda",8,30,0,0
"Uganda",9,33,0,0
"Uganda",10,33,0,0
"Uganda",11,44,0,0
"Uganda",12,44,0,0
"Uganda",13,45,0,0
"Uganda",14,48,0,0
"Uganda",15,48,0,0
"Uganda",16,52,0,0
"Uganda",17,52,0,0
"Uganda",18,52,0,0
"Uganda",19,53,0,0
"Uganda",20,53,0,0
"Uganda",21,53,0,0
"Uganda",22,53,0,4
"Uganda",23,54,0,4
"Uganda",24,54,0,7
"Uganda",25,55,0,8
"Uganda",26,55,0,12
"Uganda",27,55,0,20
"Uganda",28,56,0,20
"Uganda",29,55,0,22
"Uganda",30,55,0,28
"Uganda",31,56,0,38
"Uganda",32,61,0,38
"Uganda",33,63,0,45
"Uganda",34,74,0,46
"Uganda",35,75,0,46
"Uganda",36,75,0,46
"Uganda",37,79,0,46
"Uganda",38,79,0,47
"Uganda",39,79,0,52
"Uganda",40,81,0,52
"Uganda",41,83,0,52
"Uganda",42,85,0,52
"Uganda",43,88,0,52
"Uganda",44,89,0,52
"Uganda",45,97,0,55
"Uganda",46,98,0,55
"Uganda",47,100,0,55
"Uganda",48,101,0,55
"Uganda",49,101,0,55
"Uganda",50,116,0,55
"Uganda",51,121,0,55
"Uganda",52,121,0,55
"Uganda",53,129,0,55
"Uganda",54,139,0,55
