"Country","Day","Confirmed","Deaths","Recovered"
"Uruguay",1,4,0,0
"Uruguay",2,4,0,0
"Uruguay",3,8,0,0
"Uruguay",4,29,0,0
"Uruguay",5,50,0,0
"Uruguay",6,79,0,0
"Uruguay",7,94,0,0
"Uruguay",8,110,0,0
"Uruguay",9,135,0,0
"Uruguay",10,158,0,0
"Uruguay",11,162,0,0
"Uruguay",12,189,0,0
"Uruguay",13,217,0,0
"Uruguay",14,238,0,0
"Uruguay",15,274,0,0
"Uruguay",16,304,1,0
"Uruguay",17,310,1,0
"Uruguay",18,338,1,41
"Uruguay",19,338,2,41
"Uruguay",20,350,4,62
"Uruguay",21,369,4,68
"Uruguay",22,400,5,93
"Uruguay",23,400,5,93
"Uruguay",24,406,6,104
"Uruguay",25,424,7,150
"Uruguay",26,424,7,150
"Uruguay",27,456,7,192
"Uruguay",28,473,7,206
"Uruguay",29,494,7,214
"Uruguay",30,480,7,231
"Uruguay",31,480,8,231
"Uruguay",32,483,8,248
"Uruguay",33,492,8,260
"Uruguay",34,502,9,286
"Uruguay",35,502,9,286
"Uruguay",36,508,9,294
"Uruguay",37,517,10,298
"Uruguay",38,535,10,313
"Uruguay",39,535,11,313
"Uruguay",40,543,12,324
"Uruguay",41,557,12,354
"Uruguay",42,563,12,369
"Uruguay",43,596,14,370
"Uruguay",44,606,15,375
"Uruguay",45,620,15,386
"Uruguay",46,625,15,394
"Uruguay",47,630,15,412
"Uruguay",48,643,17,417
"Uruguay",49,648,17,435
"Uruguay",50,652,17,440
"Uruguay",51,655,17,442
"Uruguay",52,657,17,447
"Uruguay",53,670,17,468
