"Country","Day","Confirmed"
"Vietnam",1,2
"Vietnam",2,2
"Vietnam",3,2
"Vietnam",4,2
"Vietnam",5,2
"Vietnam",6,2
"Vietnam",7,2
"Vietnam",8,2
"Vietnam",9,2
"Vietnam",10,6
"Vietnam",11,6
"Vietnam",12,8
"Vietnam",13,8
"Vietnam",14,8
"Vietnam",15,10
"Vietnam",16,10
"Vietnam",17,13
"Vietnam",18,13
"Vietnam",19,14
"Vietnam",20,15
"Vietnam",21,15
"Vietnam",22,16
"Vietnam",23,16
"Vietnam",24,16
"Vietnam",25,16
"Vietnam",26,16
"Vietnam",27,16
"Vietnam",28,16
"Vietnam",29,16
"Vietnam",30,16
"Vietnam",31,16
"Vietnam",32,16
"Vietnam",33,16
"Vietnam",34,16
"Vietnam",35,16
"Vietnam",36,16
"Vietnam",37,16
"Vietnam",38,16
"Vietnam",39,16
"Vietnam",40,16
"Vietnam",41,16
"Vietnam",42,16
"Vietnam",43,16
"Vietnam",44,16
"Vietnam",45,18
"Vietnam",46,30
"Vietnam",47,30
"Vietnam",48,38
"Vietnam",49,39
"Vietnam",50,47
