"Country","Day","Confirmed","Deaths","Recovered"
"West Bank and Gaza",1,84,1,17
"West Bank and Gaza",2,91,1,17
"West Bank and Gaza",3,98,1,18
"West Bank and Gaza",4,109,1,18
"West Bank and Gaza",5,116,1,18
"West Bank and Gaza",6,119,1,18
"West Bank and Gaza",7,134,1,18
"West Bank and Gaza",8,161,1,18
"West Bank and Gaza",9,194,1,21
"West Bank and Gaza",10,217,1,21
"West Bank and Gaza",11,237,1,25
"West Bank and Gaza",12,254,1,24
"West Bank and Gaza",13,261,1,42
"West Bank and Gaza",14,263,1,44
"West Bank and Gaza",15,263,1,44
"West Bank and Gaza",16,267,2,45
"West Bank and Gaza",17,268,2,57
"West Bank and Gaza",18,290,2,58
"West Bank and Gaza",19,308,2,58
"West Bank and Gaza",20,308,2,62
"West Bank and Gaza",21,374,2,63
"West Bank and Gaza",22,374,2,63
"West Bank and Gaza",23,402,2,69
"West Bank and Gaza",24,418,2,69
"West Bank and Gaza",25,437,3,71
"West Bank and Gaza",26,449,3,71
"West Bank and Gaza",27,466,4,71
"West Bank and Gaza",28,474,4,71
"West Bank and Gaza",29,480,4,92
"West Bank and Gaza",30,484,4,92
"West Bank and Gaza",31,342,2,92
"West Bank and Gaza",32,342,2,83
"West Bank and Gaza",33,342,2,83
"West Bank and Gaza",34,343,2,71
"West Bank and Gaza",35,344,2,71
"West Bank and Gaza",36,344,2,76
"West Bank and Gaza",37,353,2,76
"West Bank and Gaza",38,353,2,76
"West Bank and Gaza",39,353,2,77
"West Bank and Gaza",40,362,2,102
"West Bank and Gaza",41,371,2,127
