"Country","Day","Confirmed","Deaths","Recovered"
"Zambia",1,2,0,0
"Zambia",2,2,0,0
"Zambia",3,2,0,0
"Zambia",4,2,0,0
"Zambia",5,3,0,0
"Zambia",6,3,0,0
"Zambia",7,3,0,0
"Zambia",8,12,0,0
"Zambia",9,16,0,0
"Zambia",10,22,0,0
"Zambia",11,28,0,0
"Zambia",12,29,0,0
"Zambia",13,35,0,0
"Zambia",14,35,0,0
"Zambia",15,36,0,0
"Zambia",16,39,1,0
"Zambia",17,39,1,2
"Zambia",18,39,1,2
"Zambia",19,39,1,3
"Zambia",20,39,1,5
"Zambia",21,39,1,7
"Zambia",22,39,1,7
"Zambia",23,39,1,24
"Zambia",24,40,2,25
"Zambia",25,40,2,28
"Zambia",26,43,2,30
"Zambia",27,45,2,30
"Zambia",28,45,2,30
"Zambia",29,48,2,30
"Zambia",30,48,2,30
"Zambia",31,52,2,30
"Zambia",32,57,2,33
"Zambia",33,61,3,33
"Zambia",34,65,3,35
"Zambia",35,70,3,35
"Zambia",36,74,3,35
"Zambia",37,76,3,37
"Zambia",38,84,3,37
"Zambia",39,84,3,37
"Zambia",40,88,3,42
"Zambia",41,88,3,42
"Zambia",42,95,3,42
"Zambia",43,97,3,54
"Zambia",44,106,3,55
"Zambia",45,109,3,74
"Zambia",46,119,3,75
"Zambia",47,124,3,78
"Zambia",48,137,3,78
"Zambia",49,138,3,92
