sub;pass;activity;math;cluster
1;1;434;-352;1
2;0;-2308;1825;1
3;0;425;-562;1
4;1;2363;1362;1
5;0;1106;-1769;1
6;0;102;-2071;1
7;0;-1139;-1287;1
8;0;-899;341;1
9;1;763;425;1
10;0;-1028;-682;1
11;1;2,43;-377;1
12;1;-647;1,86;1
13;1;-1,26;1,47;1
14;1;98;-218;1
15;1;-292;1082;1
16;1;1972;642;1
17;0;-2642;326;1
18;1;-1033;-1079;1
19;1;102;132;1
20;0;-152;-1081;1
21;1;-145;1041;1
22;1;675;-222;1
23;1;-1043;1438;1
24;1;-1701;1399;1
25;1;972;1407;1
26;1;859;1041;1
27;0;0,21;1002;1
28;1;-1105;-0,36;1
29;1;766;1808;1
30;0;-195;-2334;1
31;1;-1017;1019;1
32;0;-2097;-889;1
33;0;-231;-1087;1
34;1;1127;729;1
35;1;-607;-1059;1
36;0;411;-1865;1
37;0;658;-1901;1
38;1;1226;-99;1
39;0;143;-585;1
40;1;1391;756;1
41;1;459;427;1
42;0;-566;-364;1
43;0;-819;-1,5;1
44;0;-2286;299;1
45;0;698;-1271;1
46;1;-1188;1906;1
47;1;703;-1493;1
48;0;1266;-941;1
49;1;1068;0,06;1
50;1;-391;805;1
51;0;905;-604;1
52;1;-375;1179;1
53;0;-938;-877;1
54;1;-259;47;1
55;1;-67;1,65;1
56;0;383;-2319;1
57;1;-199;2477;1
58;1;-373;-496;1
59;1;1,41;0,26;1
60;0;-621;0,75;1
61;0;652;-577;1
62;1;157;226;1
63;0;-853;0,82;1
64;0;-1261;247;1
65;1;-0,71;-83;1
66;0;0,19;-1384;1
67;0;376;-1385;1
68;1;1583;165;1
69;0;-2275;807;2
70;1;408;469;2
71;1;651;2319;2
72;0;-1056;-183;2
73;0;-1041;-1619;2
74;1;-1796;-1255;2
75;1;-1,16;0,33;2
76;1;0,18;-31;2
77;0;296;1386;2
78;1;296;256;2
79;1;974;1594;2
80;1;-328;-965;2
81;0;-1279;-71;2
82;1;1479;554;2
83;1;68;-504;2
84;1;363;628;2
85;1;-343;-304;2
86;0;-438;483;2
87;0;-1183;2361;2
88;0;-577;-881;2
89;0;246;-1224;2
90;1;-1268;1333;2
91;0;-1517;811;2
92;1;0,14;-41;2
93;1;715;29;2
94;1;124;1,08;2
95;1;452;-828;2
96;0;-423;792;2
97;0;-626;0,06;2
98;1;-234;284;2
99;1;-748;-588;2
100;1;2323;-1146;2
101;1;-173;23;2
102;1;-515;386;2
103;0;1058;-9;2
104;1;-169;979;2
105;0;-992;458;2
106;0;628;-287;2
107;1;1108;4;2
108;1;301;48;2
109;1;885;-237;2
110;1;-338;-1336;2
111;0;-1201;144;2
112;0;1046;-2439;2
113;1;2498;-38;2
114;1;1468;1501;2
115;1;945;-211;2
116;1;-426;0,93;2
117;0;-1269;0,74;2
118;1;0,23;-377;2
119;0;-161;-1069;2
120;1;296;1757;2
121;0;-772;1076;2
122;1;2068;214;2
123;1;-552;985;2
124;1;1852;164;2
125;1;55;-337;2
126;1;1046;-891;2
127;0;-2685;206;2
128;0;-1845;1987;2
129;1;-1826;-1076;2
130;1;1111;0,84;2
131;1;-55;-15;2
132;1;311;-1191;2
133;0;-764;-309;2
134;0;-1583;-45;2
135;1;1063;294;2
136;1;291;433;2
137;0;-1782;-901;2
138;1;51;1434;2
139;0;-2629;445;2
140;0;-243;-842;2
141;1;-91;-995;2
142;1;0,53;1084;2
143;1;-27;0,42;2
144;0;-1535;112;2
145;1;-323;-1165;2
146;0;18;-1422;2
147;1;142;682;2
148;0;-2,17;-414;2
149;1;139;-687;2
150;1;505;-1665;2
151;0;-61;-1106;2
152;0;-253;-576;2
153;1;506;736;2
154;0;-642;408;2
155;0;-682;-372;3
156;1;0,26;82;3
157;1;0,53;1226;3
158;0;861;-2253;3
159;1;1068;422;3
160;0;571;-1836;3
161;0;662;515;3
162;0;-656;-548;3
163;0;-546;-73;3
164;0;0,34;-558;3
165;1;1847;401;3
166;0;-0,19;-527;3
167;1;344;919;3
168;1;0,04;-0,07;3
169;0;-2434;-883;3
170;1;2,16;1302;3
171;1;1,13;244;3
172;0;-0,76;221;3
173;1;0,89;-523;3
174;0;1418;-829;3
175;1;362;91;3
176;0;-67;-1,16;3
177;0;547;-1091;3
178;1;-98;-1141;3
179;1;-1691;-0,39;3
180;1;2547;555;3
181;0;1423;-804;3
182;0;-923;-1,33;3
183;1;1039;-637;3
184;0;-695;-1093;3
185;0;68;-48;3
186;0;-696;-43;3
187;0;2096;-595;3
188;0;-448;1347;3
189;1;-878;-1044;3
190;0;55;-82;3
191;1;615;1505;3
192;0;346;-1829;3
193;0;-3;76;3
194;0;803;-2617;3
195;0;1,89;-1505;3
196;0;1565;-157;3
197;1;855;741;3
198;1;874;486;3
199;0;-1421;134;3
200;0;-155;0,56;3
201;1;392;92;3
202;1;332;1573;3
203;0;-111;-61;3
204;1;-614;1154;3
