"";"pass";"math";"activity";"school"
"1";1;-0,328;-0,364;"1"
"2";1;0,554;1,029;"1"
"3";1;2,718;2,429;"1"
"4";1;1,798;0,69;"1"
"5";0;-1,365;1,798;"1"
"6";1;-0,714;-1,179;"1"
"7";1;0,519;-0,626;"1"
"8";1;-0,301;-0,438;"1"
"9";1;1,12;-1,609;"1"
"10";1;-0,611;-0,951;"1"
"11";1;0,167;-0,064;"1"
"12";1;-0,112;-0,441;"1"
"13";1;1,398;0,678;"1"
"14";1;0,317;-1,205;"1"
"15";1;-0,637;0,047;"1"
"16";1;-0,436;-1,131;"1"
"17";1;-0,392;1,027;"1"
"18";1;-1,14;-0,354;"1"
"19";0;-0,749;1,543;"1"
"20";1;2,552;-2,174;"1"
"21";1;0,976;-0,792;"1"
"22";1;-0,841;-0,995;"1"
"23";1;0,296;-0,15;"1"
"24";1;0,832;1,191;"1"
"25";1;0,84;-0,203;"1"
"26";1;0,625;0,488;"1"
"27";1;-1,448;-1,643;"1"
"28";1;0,178;-1,677;"1"
"29";1;-0,279;-0,731;"1"
"30";1;-0,588;0,346;"1"
"31";1;0,334;-0,267;"1"
"32";1;0,635;-0,332;"1"
"33";1;-1,31;-1,28;"1"
"34";1;-0,795;-0,09;"1"
"35";1;-1,478;-0,295;"1"
"36";1;1,761;-0,084;"1"
"37";1;1,422;-0,307;"1"
"38";1;0,508;0,843;"1"
"39";0;0,386;1,571;"1"
"40";1;-0,717;0,141;"1"
"41";1;0,028;-0,269;"1"
"42";1;1,622;-1,06;"1"
"43";1;-0,65;0,725;"1"
"44";1;1,985;1,114;"1"
"45";1;1,446;-0,572;"1"
"46";1;0,711;-0,229;"1"
"47";0;-0,458;2,808;"1"
"48";1;-0,906;-1,074;"1"
"49";0;-1,635;2,068;"1"
"50";1;0,461;0,248;"1"
"51";1;-2,166;-1,91;"1"
"52";1;0,455;0,531;"1"
"53";1;-1,183;0,441;"1"
"54";1;-0,311;-2,304;"1"
"55";1;-0,932;-0,18;"1"
"56";1;1,38;0,191;"1"
"57";1;-0,779;0,724;"1"
"58";1;-0,219;-0,45;"1"
"59";1;0,745;-2,292;"1"
"60";1;-0,447;-0,651;"1"
"61";1;-0,58;-2,212;"1"
"62";1;-0,46;-1,597;"1"
"63";1;-0,208;-0,653;"1"
"64";1;0,619;0,428;"1"
"65";0;-0,7;0,65;"1"
"66";1;-0,821;0,155;"1"
"67";1;-0,337;0,706;"1"
"68";1;0,425;-1,246;"1"
"69";1;1,606;1,055;"1"
"70";1;-0,722;0,241;"1"
"71";1;0,869;0,084;"1"
"72";1;-0,357;-0,526;"1"
"73";1;-1,372;-0,266;"1"
"74";0;-0,335;-1,06;"1"
"75";1;0,105;0,893;"1"
"76";1;-0,121;-0,218;"1"
"77";1;-0,323;-2,796;"1"
"78";1;0,238;0,551;"1"
"79";1;1,916;0,226;"1"
"80";1;-2,084;0,208;"1"
"81";1;0,542;0,958;"1"
"82";1;0,589;1,332;"1"
"83";1;-0,21;1,15;"1"
"84";1;-0,054;0,639;"1"
"85";1;1,668;0,441;"1"
"86";1;1,08;-0,19;"1"
"87";1;-0,596;0,574;"1"
"88";0;-2,681;1,475;"1"
"89";0;0,843;1,619;"1"
"90";1;0,229;0,299;"1"
"91";1;0,151;1,674;"1"
"92";1;-0,455;-0,996;"1"
"93";1;-0,045;1,332;"1"
"94";1;0,377;-0,571;"1"
"95";1;0,086;1,373;"1"
"96";1;0,543;-2,685;"2"
"97";1;-0,289;0,698;"2"
"98";0;1,332;1,27;"2"
"99";0;0,051;0,497;"2"
"100";0;-1,382;0,397;"2"
"101";1;0,183;-0,891;"2"
"102";1;-0,766;-1,821;"2"
"103";0;2,23;-1,029;"2"
"104";0;0,212;0,146;"2"
"105";0;0,818;1,341;"2"
"106";0;1,239;0,174;"2"
"107";1;-0,104;-1,547;"2"
"108";1;0,628;-0,32;"2"
"109";1;0,477;-0,795;"2"
"110";0;0,619;-0,899;"2"
"111";0;1,353;-0,385;"2"
"112";0;0,024;0,252;"2"
"113";1;0,891;-0,202;"2"
"114";0;-0,477;-0,285;"2"
"115";1;-0,843;-1,412;"2"
"116";1;-1,114;-2,057;"2"
"117";0;-0,053;0,74;"2"
"118";0;-0,228;1,677;"2"
"119";0;-0,762;-0,078;"2"
"120";1;-0,188;-0,455;"2"
"121";0;0,418;0,469;"2"
"122";0;-0,908;0,304;"2"
"123";1;-0,297;-0,691;"2"
"124";0;-0,082;-1,149;"2"
"125";0;0,775;0,87;"2"
"126";0;-0,312;-0,097;"2"
"127";1;2,205;-0,349;"2"
"128";1;0,816;-1,465;"2"
"129";0;-1,429;0,781;"2"
"130";1;1,277;-0,563;"2"
"131";1;0,847;-2,316;"2"
"132";0;-1,261;-0,207;"2"
"133";0;-0,432;0,929;"2"
"134";0;-0,104;0,598;"2"
"135";0;0,51;0,048;"2"
"136";0;-0,399;-0,014;"2"
"137";0;0,268;-0,223;"2"
"138";0;1,029;0,323;"2"
"139";1;-0,089;-1,363;"2"
"140";1;-0,619;-1,753;"2"
"141";1;-1,594;-0,723;"2"
"142";0;1,144;0,821;"2"
"143";0;-1,715;0,899;"2"
"144";0;0,109;1,168;"2"
"145";1;1,263;-0,343;"2"
"146";0;-0,333;0,993;"2"
"147";1;1,357;0,127;"2"
"148";0;-0,784;0,479;"2"
"149";0;-1,276;0,609;"2"
"150";0;0,654;1,121;"2"
"151";0;0,913;-0,364;"2"
"152";0;-2,001;-0,786;"2"
"153";0;-1,423;0,495;"2"
"154";0;-0,121;0,571;"2"
"155";1;1,12;-1,401;"2"
"156";0;-0,006;0,564;"2"
"157";0;-0,234;0,633;"2"
"158";0;0,109;0,024;"3"
"159";0;2,415;2,426;"3"
"160";0;-1,389;-0,634;"3"
"161";0;2,006;0,766;"3"
"162";0;0,02;-1,983;"3"
"163";0;-0,883;1,46;"3"
"164";0;-0,403;-0,483;"3"
"165";0;-1,137;-0,543;"3"
"166";0;-0,9;-0,685;"3"
"167";0;-0,115;-0,346;"3"
"168";1;-0,226;1,047;"3"
"169";0;-3,059;0,668;"3"
"170";1;1,729;2,79;"3"
"171";0;-1,739;-0,109;"3"
"172";0;0,562;0,069;"3"
"173";0;-0,807;0,471;"3"
"174";0;1,514;0,68;"3"
"175";1;0,716;-0,666;"3"
"176";0;-0,16;0,664;"3"
"177";0;0,979;-1,282;"3"
"178";0;-1,343;1,077;"3"
"179";0;-1,635;1,411;"3"
"180";0;1,629;0,809;"3"
"181";0;0,179;-1,174;"3"
"182";0;0,2;1,876;"3"
"183";0;0,508;0,801;"3"
"184";0;-0,978;-0,152;"3"
"185";0;-1,163;0,522;"3"
"186";0;0,343;-0,574;"3"
"187";0;0,612;-1,602;"3"
"188";0;0,686;0,854;"3"
"189";0;-0,562;-1,419;"3"
"190";0;0,624;-0,265;"3"
"191";0;-2,12;0,789;"3"
"192";0;-0,802;-0,988;"3"
"193";0;-0,766;0,044;"3"
"194";0;0,451;-0,731;"3"
"195";0;0,343;0,312;"3"
"196";0;0,039;2,081;"3"
"197";0;-1,498;1,409;"3"
"198";0;0,592;-1,402;"3"
"199";0;-0,605;0,129;"3"
"200";0;0,283;-0,646;"3"
"201";0;-0,234;0,303;"3"
"202";0;-0,306;-0,296;"3"
"203";0;0,006;-0,606;"3"
"204";0;0,364;0,759;"3"
"205";0;0,103;0,093;"3"
"206";0;-0,022;1,471;"3"
"207";1;-0,178;-0,906;"3"
"208";0;-0,144;-1,316;"3"
"209";0;-0,392;0,314;"3"
"210";1;0,995;1,845;"3"
"211";0;-0,827;0,719;"3"
"212";0;0,812;-0,171;"3"
"213";0;0,104;2,649;"3"
"214";0;-0,992;1,157;"3"
"215";0;1,18;0,2;"3"
"216";0;0,52;-0,876;"3"
"217";0;0,93;0,329;"3"
"218";0;-0,12;0,02;"4"
"219";0;1,022;-0,095;"4"
"220";0;1,206;-1,131;"4"
"221";0;0,695;0,143;"4"
"222";0;1,743;-0,587;"4"
"223";0;-3,529;-0,582;"4"
"224";0;-0,581;-1,502;"4"
"225";0;-0,251;0,187;"4"
"226";0;-1,467;1,323;"4"
"227";0;0,778;0,083;"4"
"228";0;0,256;-0,178;"4"
"229";1;-0,231;0,06;"4"
"230";0;-1,006;0,179;"4"
"231";0;-1,27;-0,323;"4"
"232";0;-0,122;-0,295;"4"
"233";0;0,444;-1,022;"4"
"234";0;1,375;2,575;"4"
"235";0;-0,018;0,012;"4"
"236";0;0,797;-0,465;"4"
"237";0;-0,56;-2,467;"4"
"238";0;-0,209;-0,58;"4"
"239";0;0,202;0,38;"4"
"240";0;-0,84;1,513;"4"
"241";0;-0,184;-0,086;"4"
"242";1;0,276;-0,611;"4"
"243";0;0,516;0,212;"4"
"244";0;0,719;-0,497;"4"
"245";0;-0,404;-0,888;"4"
"246";0;0,251;0,035;"4"
"247";0;1,035;-0,51;"4"
"248";0;1,188;-1,559;"4"
"249";0;-1,085;0,528;"4"
"250";0;-0,311;0,625;"4"
"251";0;0,637;-0,285;"4"
"252";0;-0,564;-0,611;"4"
"253";0;-0,068;-0,438;"4"
"254";0;0,169;0,045;"4"
"255";0;0,181;0,343;"4"
"256";0;0,316;0,068;"4"
"257";0;0,259;0,555;"4"
"258";0;1,303;0,154;"4"
"259";0;-0,074;0,135;"4"
"260";0;-0,722;0,545;"4"
"261";0;-0,212;-0,673;"4"
"262";0;-1,367;1,695;"4"
"263";0;-1,211;0,533;"4"
"264";0;0,488;-0,238;"4"
"265";0;1,167;0,198;"4"
"266";0;-1,736;0,206;"4"
"267";1;-0,225;-0,194;"4"
"268";0;-0,362;1,63;"4"
"269";0;-0,085;0,379;"4"
"270";0;-0,796;-0,971;"4"
"271";0;-0,135;-0,141;"4"
"272";0;0,113;-1,21;"4"
"273";0;0,155;1,104;"4"
"274";0;-0,217;-0,818;"5"
"275";1;0,039;0,606;"5"
"276";0;-0,787;-1,61;"5"
"277";1;-1,05;0,984;"5"
"278";1;-1,791;-1,626;"5"
"279";0;-0,407;0,174;"5"
"280";1;0,753;-0,617;"5"
"281";0;-2,385;1,298;"5"
"282";1;0,429;-1,62;"5"
"283";0;0,647;-2,209;"5"
"284";0;1,293;-0,284;"5"
"285";1;-2,624;-1,975;"5"
"286";0;1,12;0,409;"5"
"287";1;-2,311;-0,283;"5"
"288";1;1,687;1,654;"5"
"289";1;1,219;0,324;"5"
"290";1;0,568;0,712;"5"
"291";1;-0,874;1,902;"5"
"292";0;0,391;-0,234;"5"
"293";0;0,316;-1,082;"5"
"294";1;-1,074;-1,771;"5"
"295";1;-0,612;-1,461;"5"
"296";0;0,474;0,299;"5"
"297";1;0,654;0,483;"5"
"298";1;-0,156;0,067;"5"
"299";1;-0,811;0,577;"5"
"300";0;-1,116;-0,584;"5"
"301";1;-1,719;-0,015;"5"
"302";1;-0,406;-0,37;"5"
"303";1;1,476;0,049;"5"
"304";1;1,48;0,632;"5"
"305";0;0,155;-1,189;"5"
"306";1;0,984;-0,314;"5"
"307";1;-0,662;1,457;"5"
"308";1;-0,034;1,607;"5"
"309";1;-0,996;-0,066;"5"
"310";1;-0,461;0,506;"5"
"311";1;0,466;0,635;"5"
"312";1;0,787;0,615;"5"
"313";1;-1,062;0,641;"5"
"314";0;1,307;-0,942;"5"
"315";1;1,271;-0,336;"5"
"316";1;-1,026;-1,75;"5"
"317";1;-0,334;0,653;"5"
"318";1;1,956;0,426;"5"
"319";0;1,263;-1,962;"5"
"320";1;0,425;-1,749;"5"
"321";0;0,688;-0,306;"5"
