"Country","Day","Confirmed"
"Japan",-21.4601307189542,2
"Japan",-20.4601307189542,1
"Japan",-19.4601307189542,2
"Japan",-18.4601307189542,2
"Japan",-17.4601307189542,4
"Japan",-16.4601307189542,4
"Japan",-15.4601307189542,7
"Japan",-14.4601307189542,7
"Japan",-13.4601307189542,11
"Japan",-12.4601307189542,15
"Japan",-11.4601307189542,20
"Japan",-10.4601307189542,20
"Japan",-9.46013071895425,20
"Japan",-8.46013071895425,22
"Japan",-7.46013071895425,22
"Japan",-6.46013071895425,45
"Japan",-5.46013071895425,25
"Japan",-4.46013071895425,25
"Japan",-3.46013071895425,26
"Japan",-2.46013071895425,26
"Japan",-1.46013071895425,26
"Japan",-0.460130718954247,28
"Japan",0.539869281045753,28
"Japan",1.53986928104575,29
"Japan",2.53986928104575,43
"Japan",3.53986928104575,59
"Japan",4.53986928104575,66
"Japan",5.53986928104575,74
"Japan",6.53986928104575,84
"Japan",7.53986928104575,94
"Japan",8.53986928104575,105
"Japan",9.53986928104575,122
"Japan",10.5398692810458,147
"Japan",11.5398692810458,159
"Japan",12.5398692810458,170
"Japan",13.5398692810458,189
"Japan",14.5398692810458,214
"Japan",15.5398692810458,228
"Japan",16.5398692810458,241
"Japan",17.5398692810458,256
"Japan",18.5398692810458,274
"Japan",19.5398692810458,293
"Japan",20.5398692810458,331
"Japan",21.5398692810458,360
"Japan",22.5398692810458,420
"Japan",23.5398692810458,461
"Japan",24.5398692810458,502
"Japan",25.5398692810458,511
"Mainland China",-21.4601307189542,547
"Mainland China",-20.4601307189542,639
"Mainland China",-19.4601307189542,916
"Mainland China",-18.4601307189542,1399
"Mainland China",-17.4601307189542,2062
"Mainland China",-16.4601307189542,2863
"Mainland China",-15.4601307189542,5494
"Mainland China",-14.4601307189542,6070
"Mainland China",-13.4601307189542,8124
"Mainland China",-12.4601307189542,9783
"Mainland China",-11.4601307189542,11871
"Mainland China",-10.4601307189542,16607
"Mainland China",-9.46013071895425,19693
"Mainland China",-8.46013071895425,23680
"Mainland China",-7.46013071895425,27409
"Mainland China",-6.46013071895425,30553
"Mainland China",-5.46013071895425,34075
"Mainland China",-4.46013071895425,36778
"Mainland China",-3.46013071895425,39790
"Mainland China",-2.46013071895425,42306
"Mainland China",-1.46013071895425,44327
"Mainland China",-0.460130718954247,44699
"Mainland China",0.539869281045753,59832
"Mainland China",1.53986928104575,66292
"Mainland China",2.53986928104575,68347
"Mainland China",3.53986928104575,70446
"Mainland China",4.53986928104575,72364
"Mainland China",5.53986928104575,74139
"Mainland China",6.53986928104575,74546
"Mainland China",7.53986928104575,74999
"Mainland China",8.53986928104575,75472
"Mainland China",9.53986928104575,76922
"Mainland China",10.5398692810458,76938
"Mainland China",11.5398692810458,77152
"Mainland China",12.5398692810458,77660
"Mainland China",13.5398692810458,78065
"Mainland China",14.5398692810458,78498
"Mainland China",15.5398692810458,78824
"Mainland China",16.5398692810458,79251
"Mainland China",17.5398692810458,79826
"Mainland China",18.5398692810458,80026
"Mainland China",19.5398692810458,80151
"Mainland China",20.5398692810458,80271
"Mainland China",21.5398692810458,80422
"Mainland China",22.5398692810458,80573
"Mainland China",23.5398692810458,80652
"Mainland China",24.5398692810458,80699
"Mainland China",25.5398692810458,80735
"Mainland China",26.5398692810458,547
"Mainland China",27.5398692810458,639
"Mainland China",28.5398692810458,916
"Mainland China",29.5398692810458,1399
"Mainland China",30.5398692810458,2062
"Mainland China",31.5398692810458,2863
"Mainland China",32.5398692810458,5494
"Mainland China",33.5398692810458,6070
"Mainland China",34.5398692810458,8124
